Orthogroup	BU_ATCC8492	PV_ATCC8482
OG0000049		PV_ATCC8482_00130, PV_ATCC8482_01394, PV_ATCC8482_01540, PV_ATCC8482_01769, PV_ATCC8482_02832, PV_ATCC8482_03043, PV_ATCC8482_03322
OG0000050	BU_ATCC8492_01056	PV_ATCC8482_00409, PV_ATCC8482_00613, PV_ATCC8482_01041, PV_ATCC8482_02095, PV_ATCC8482_02291
OG0000051	BU_ATCC8492_01192	PV_ATCC8482_00037, PV_ATCC8482_01008, PV_ATCC8482_01039, PV_ATCC8482_01078, PV_ATCC8482_01079
OG0000052	BU_ATCC8492_00594, BU_ATCC8492_00649, BU_ATCC8492_00706, BU_ATCC8492_01542, BU_ATCC8492_03182	PV_ATCC8482_00875
OG0000053	BU_ATCC8492_00385, BU_ATCC8492_00386, BU_ATCC8492_00929, BU_ATCC8492_02047, BU_ATCC8492_02835, BU_ATCC8492_02836	
OG0000054	BU_ATCC8492_01698, BU_ATCC8492_03667	PV_ATCC8482_00285, PV_ATCC8482_00300, PV_ATCC8482_00301, PV_ATCC8482_01222
OG0000055	BU_ATCC8492_00036, BU_ATCC8492_01750	PV_ATCC8482_01001, PV_ATCC8482_03476, PV_ATCC8482_03574, PV_ATCC8482_03813
OG0000056	BU_ATCC8492_00576, BU_ATCC8492_00578, BU_ATCC8492_01021	PV_ATCC8482_01838, PV_ATCC8482_02774, PV_ATCC8482_02775
OG0000057	BU_ATCC8492_00020, BU_ATCC8492_00213, BU_ATCC8492_02630	PV_ATCC8482_00693, PV_ATCC8482_00966, PV_ATCC8482_03473
OG0000058	BU_ATCC8492_00172, BU_ATCC8492_00332, BU_ATCC8492_00501, BU_ATCC8492_00672, BU_ATCC8492_00807, BU_ATCC8492_01453	
OG0000059	BU_ATCC8492_00377, BU_ATCC8492_00747, BU_ATCC8492_01096, BU_ATCC8492_03185, BU_ATCC8492_03801	PV_ATCC8482_01433
OG0000060	BU_ATCC8492_00407, BU_ATCC8492_00651, BU_ATCC8492_00880, BU_ATCC8492_00887, BU_ATCC8492_02383	PV_ATCC8482_04222
OG0000061	BU_ATCC8492_00417	PV_ATCC8482_00589, PV_ATCC8482_01297, PV_ATCC8482_01331, PV_ATCC8482_01370, PV_ATCC8482_01848
OG0000062	BU_ATCC8492_00681, BU_ATCC8492_00938, BU_ATCC8492_01013, BU_ATCC8492_01017, BU_ATCC8492_01043	PV_ATCC8482_01252
OG0000063	BU_ATCC8492_00980, BU_ATCC8492_01075	PV_ATCC8482_00518, PV_ATCC8482_01169, PV_ATCC8482_01175, PV_ATCC8482_03592
OG0000064	BU_ATCC8492_01246	PV_ATCC8482_00783, PV_ATCC8482_01315, PV_ATCC8482_02719, PV_ATCC8482_02778, PV_ATCC8482_03066
OG0000065	BU_ATCC8492_01257, BU_ATCC8492_01260, BU_ATCC8492_01267, BU_ATCC8492_01305, BU_ATCC8492_01312	PV_ATCC8482_01275
OG0000066	BU_ATCC8492_01569	PV_ATCC8482_00460, PV_ATCC8482_01772, PV_ATCC8482_02363, PV_ATCC8482_03214, PV_ATCC8482_03275
OG0000067	BU_ATCC8492_01687	PV_ATCC8482_00071, PV_ATCC8482_00339, PV_ATCC8482_00795, PV_ATCC8482_03292, PV_ATCC8482_03293
OG0000068	BU_ATCC8492_01804, BU_ATCC8492_02850	PV_ATCC8482_00792, PV_ATCC8482_02503, PV_ATCC8482_04216, PV_ATCC8482_04248
OG0000069	BU_ATCC8492_01904	PV_ATCC8482_00736, PV_ATCC8482_01269, PV_ATCC8482_01591, PV_ATCC8482_02455, PV_ATCC8482_03025
OG0000070	BU_ATCC8492_02378, BU_ATCC8492_02433, BU_ATCC8492_03394, BU_ATCC8492_03435, BU_ATCC8492_03631	PV_ATCC8482_02746
OG0000071	BU_ATCC8492_02520, BU_ATCC8492_02712, BU_ATCC8492_02867, BU_ATCC8492_03224	PV_ATCC8482_01789, PV_ATCC8482_03550
OG0000072		PV_ATCC8482_00225, PV_ATCC8482_00531, PV_ATCC8482_00630, PV_ATCC8482_00995, PV_ATCC8482_03807
OG0000073	BU_ATCC8492_00981, BU_ATCC8492_01074	PV_ATCC8482_00519, PV_ATCC8482_01170, PV_ATCC8482_01174
OG0000074	BU_ATCC8492_00328, BU_ATCC8492_01022, BU_ATCC8492_03762	PV_ATCC8482_00135, PV_ATCC8482_00145
OG0000075	BU_ATCC8492_00313, BU_ATCC8492_00316, BU_ATCC8492_00323, BU_ATCC8492_00327, BU_ATCC8492_00699	
OG0000076	BU_ATCC8492_00252	PV_ATCC8482_01199, PV_ATCC8482_02050, PV_ATCC8482_02093, PV_ATCC8482_02282
OG0000077	BU_ATCC8492_01053	PV_ATCC8482_01160, PV_ATCC8482_01870, PV_ATCC8482_01908, PV_ATCC8482_02047
OG0000078	BU_ATCC8492_00581	PV_ATCC8482_00032, PV_ATCC8482_00768, PV_ATCC8482_03940, PV_ATCC8482_04244
OG0000079	BU_ATCC8492_00035, BU_ATCC8492_00199, BU_ATCC8492_01751, BU_ATCC8492_02644	PV_ATCC8482_02181
OG0000080	BU_ATCC8492_00925, BU_ATCC8492_02517, BU_ATCC8492_03228	PV_ATCC8482_02086, PV_ATCC8482_02942
OG0000081	BU_ATCC8492_02617, BU_ATCC8492_02618, BU_ATCC8492_02937	PV_ATCC8482_02897, PV_ATCC8482_03235
OG0000082	BU_ATCC8492_02772	PV_ATCC8482_02257, PV_ATCC8482_03182, PV_ATCC8482_03198, PV_ATCC8482_03199
OG0000083	BU_ATCC8492_00538, BU_ATCC8492_01270, BU_ATCC8492_02428, BU_ATCC8492_02864	PV_ATCC8482_02368
OG0000084	BU_ATCC8492_00022, BU_ATCC8492_00210, BU_ATCC8492_01944, BU_ATCC8492_02632	PV_ATCC8482_01631
OG0000085	BU_ATCC8492_00037, BU_ATCC8492_00196	PV_ATCC8482_02191, PV_ATCC8482_02196, PV_ATCC8482_03465
OG0000086	BU_ATCC8492_00042, BU_ATCC8492_00178, BU_ATCC8492_02646, BU_ATCC8492_03544	PV_ATCC8482_02238
OG0000087	BU_ATCC8492_00094, BU_ATCC8492_00891, BU_ATCC8492_01506, BU_ATCC8492_03910	PV_ATCC8482_00788
OG0000088	BU_ATCC8492_00144, BU_ATCC8492_00443, BU_ATCC8492_01677, BU_ATCC8492_01798	PV_ATCC8482_00200
OG0000089	BU_ATCC8492_00294, BU_ATCC8492_00319, BU_ATCC8492_01005, BU_ATCC8492_01026, BU_ATCC8492_01031	
OG0000090	BU_ATCC8492_00301, BU_ATCC8492_01171, BU_ATCC8492_02740, BU_ATCC8492_03646	PV_ATCC8482_02373
OG0000091	BU_ATCC8492_00438, BU_ATCC8492_00439, BU_ATCC8492_00504, BU_ATCC8492_01247	PV_ATCC8482_00153
OG0000092	BU_ATCC8492_00556, BU_ATCC8492_01197, BU_ATCC8492_01198, BU_ATCC8492_01199	PV_ATCC8482_00036
OG0000093	BU_ATCC8492_00620, BU_ATCC8492_00621, BU_ATCC8492_01285, BU_ATCC8492_02570	PV_ATCC8482_03440
OG0000094	BU_ATCC8492_00794, BU_ATCC8492_01071, BU_ATCC8492_01072, BU_ATCC8492_03485	PV_ATCC8482_02685
OG0000095	BU_ATCC8492_00890, BU_ATCC8492_01265, BU_ATCC8492_01310, BU_ATCC8492_01515, BU_ATCC8492_01516	
OG0000096	BU_ATCC8492_01137	PV_ATCC8482_01048, PV_ATCC8482_01054, PV_ATCC8482_01056, PV_ATCC8482_01087
OG0000097	BU_ATCC8492_01176, BU_ATCC8492_02537, BU_ATCC8492_03028, BU_ATCC8492_03230	PV_ATCC8482_01785
OG0000098	BU_ATCC8492_01227	PV_ATCC8482_01495, PV_ATCC8482_02537, PV_ATCC8482_03065, PV_ATCC8482_03588
OG0000099	BU_ATCC8492_01573	PV_ATCC8482_01801, PV_ATCC8482_02360, PV_ATCC8482_03213, PV_ATCC8482_03274
OG0000100	BU_ATCC8492_01586, BU_ATCC8492_02843, BU_ATCC8492_03094, BU_ATCC8492_03468	PV_ATCC8482_03208
OG0000101	BU_ATCC8492_01803	PV_ATCC8482_00791, PV_ATCC8482_02504, PV_ATCC8482_04217, PV_ATCC8482_04249
OG0000102	BU_ATCC8492_01836	PV_ATCC8482_02734, PV_ATCC8482_02739, PV_ATCC8482_02742, PV_ATCC8482_02857
OG0000103	BU_ATCC8492_01910, BU_ATCC8492_02539, BU_ATCC8492_03389	PV_ATCC8482_00730, PV_ATCC8482_01598
OG0000104	BU_ATCC8492_01911	PV_ATCC8482_00729, PV_ATCC8482_01599, PV_ATCC8482_01791, PV_ATCC8482_04035
OG0000105	BU_ATCC8492_01917, BU_ATCC8492_02882, BU_ATCC8492_03422	PV_ATCC8482_00723, PV_ATCC8482_01605
OG0000106	BU_ATCC8492_02026, BU_ATCC8492_02027, BU_ATCC8492_02029, BU_ATCC8492_02030	PV_ATCC8482_01726
OG0000107	BU_ATCC8492_02407, BU_ATCC8492_02455, BU_ATCC8492_02543	PV_ATCC8482_02729, PV_ATCC8482_04050
OG0000108	BU_ATCC8492_02521, BU_ATCC8492_02713, BU_ATCC8492_03223, BU_ATCC8492_03393, BU_ATCC8492_03434	
OG0000109	BU_ATCC8492_02548, BU_ATCC8492_02747, BU_ATCC8492_02886	PV_ATCC8482_03041, PV_ATCC8482_04121
OG0000110	BU_ATCC8492_03363	PV_ATCC8482_00634, PV_ATCC8482_03290, PV_ATCC8482_03303, PV_ATCC8482_04004
OG0000111		PV_ATCC8482_00039, PV_ATCC8482_00389, PV_ATCC8482_00936, PV_ATCC8482_01225, PV_ATCC8482_01787
OG0000112		PV_ATCC8482_00188, PV_ATCC8482_00535, PV_ATCC8482_01165, PV_ATCC8482_01860, PV_ATCC8482_02230
OG0000113	BU_ATCC8492_00529, BU_ATCC8492_00532	PV_ATCC8482_01201, PV_ATCC8482_01844
OG0000114	BU_ATCC8492_00322, BU_ATCC8492_01028	PV_ATCC8482_00133, PV_ATCC8482_02998
OG0000115	BU_ATCC8492_00792, BU_ATCC8492_01000	PV_ATCC8482_00770, PV_ATCC8482_00982
OG0000116	BU_ATCC8492_00427, BU_ATCC8492_00571, BU_ATCC8492_00882, BU_ATCC8492_03183	
OG0000117	BU_ATCC8492_00378	PV_ATCC8482_01776, PV_ATCC8482_03602, PV_ATCC8482_03603
OG0000118	BU_ATCC8492_01500	PV_ATCC8482_00763, PV_ATCC8482_02769, PV_ATCC8482_02772
OG0000119	BU_ATCC8492_02090	PV_ATCC8482_02284, PV_ATCC8482_02499, PV_ATCC8482_02626
OG0000120		PV_ATCC8482_00158, PV_ATCC8482_00382, PV_ATCC8482_01886, PV_ATCC8482_02996
OG0000121	BU_ATCC8492_03532	PV_ATCC8482_00520, PV_ATCC8482_01194, PV_ATCC8482_01858
OG0000122	BU_ATCC8492_00570, BU_ATCC8492_00884, BU_ATCC8492_01242	PV_ATCC8482_02154
OG0000123	BU_ATCC8492_00426, BU_ATCC8492_00572, BU_ATCC8492_00589	PV_ATCC8482_03601
OG0000124	BU_ATCC8492_00558, BU_ATCC8492_01195	PV_ATCC8482_00410, PV_ATCC8482_01042
OG0000125	BU_ATCC8492_00729, BU_ATCC8492_02227, BU_ATCC8492_03596	PV_ATCC8482_02750
OG0000126	BU_ATCC8492_01664	PV_ATCC8482_02049, PV_ATCC8482_02283, PV_ATCC8482_02519
OG0000127	BU_ATCC8492_01639, BU_ATCC8492_02137, BU_ATCC8492_02151	PV_ATCC8482_01071
OG0000128	BU_ATCC8492_00288, BU_ATCC8492_01584, BU_ATCC8492_01854	PV_ATCC8482_00653
OG0000129	BU_ATCC8492_00315, BU_ATCC8492_01032, BU_ATCC8492_01864	PV_ATCC8482_04239
OG0000130	BU_ATCC8492_00321, BU_ATCC8492_01029	PV_ATCC8482_00996, PV_ATCC8482_03808
OG0000131	BU_ATCC8492_00292, BU_ATCC8492_01580, BU_ATCC8492_03724	PV_ATCC8482_02999
OG0000132	BU_ATCC8492_02268, BU_ATCC8492_02269	PV_ATCC8482_01300, PV_ATCC8482_02087
OG0000133	BU_ATCC8492_00247, BU_ATCC8492_00435, BU_ATCC8492_00575	PV_ATCC8482_01166
OG0000134	BU_ATCC8492_00432	PV_ATCC8482_00170, PV_ATCC8482_01878, PV_ATCC8482_01879
OG0000135	BU_ATCC8492_02411, BU_ATCC8492_02745, BU_ATCC8492_03216	PV_ATCC8482_01794
OG0000136	BU_ATCC8492_00528, BU_ATCC8492_00533	PV_ATCC8482_01202, PV_ATCC8482_01843
OG0000137	BU_ATCC8492_00052, BU_ATCC8492_02654, BU_ATCC8492_02655	PV_ATCC8482_00958
OG0000138	BU_ATCC8492_00889, BU_ATCC8492_02372, BU_ATCC8492_02373	PV_ATCC8482_02777
OG0000139	BU_ATCC8492_00698	PV_ATCC8482_00761, PV_ATCC8482_01163, PV_ATCC8482_01888
OG0000140	BU_ATCC8492_03523	PV_ATCC8482_00609, PV_ATCC8482_01842, PV_ATCC8482_03891
OG0000141	BU_ATCC8492_00044, BU_ATCC8492_01928	PV_ATCC8482_00711, PV_ATCC8482_01617
OG0000142	BU_ATCC8492_00266	PV_ATCC8482_00110, PV_ATCC8482_00986, PV_ATCC8482_02106
OG0000143	BU_ATCC8492_03210, BU_ATCC8492_03376, BU_ATCC8492_03420	PV_ATCC8482_04052
OG0000144	BU_ATCC8492_02436	PV_ATCC8482_02460, PV_ATCC8482_02477, PV_ATCC8482_02755
OG0000145	BU_ATCC8492_02424, BU_ATCC8492_03433	PV_ATCC8482_02744, PV_ATCC8482_03547
OG0000146	BU_ATCC8492_00017	PV_ATCC8482_00945, PV_ATCC8482_01566, PV_ATCC8482_02538
OG0000147	BU_ATCC8492_00018, BU_ATCC8492_00215, BU_ATCC8492_02628	PV_ATCC8482_02207
OG0000148	BU_ATCC8492_00023, BU_ATCC8492_00209, BU_ATCC8492_02633	PV_ATCC8482_00695
OG0000149	BU_ATCC8492_00024, BU_ATCC8492_00208, BU_ATCC8492_02634	PV_ATCC8482_02201
OG0000150	BU_ATCC8492_00041	PV_ATCC8482_01558, PV_ATCC8482_03523, PV_ATCC8482_03843
OG0000151	BU_ATCC8492_00054, BU_ATCC8492_01433, BU_ATCC8492_02657	PV_ATCC8482_00940
OG0000152	BU_ATCC8492_00239, BU_ATCC8492_01739, BU_ATCC8492_02789	PV_ATCC8482_02543
OG0000153	BU_ATCC8492_00109	PV_ATCC8482_00023, PV_ATCC8482_00025, PV_ATCC8482_00030
OG0000154	BU_ATCC8492_00364, BU_ATCC8492_03192, BU_ATCC8492_03581	PV_ATCC8482_00472
OG0000155	BU_ATCC8492_00744	PV_ATCC8482_03694, PV_ATCC8482_03695, PV_ATCC8482_04229
OG0000156	BU_ATCC8492_01718, BU_ATCC8492_01844	PV_ATCC8482_00867, PV_ATCC8482_02993
OG0000157	BU_ATCC8492_02074, BU_ATCC8492_02239, BU_ATCC8492_03796	PV_ATCC8482_01432
OG0000158	BU_ATCC8492_00034, BU_ATCC8492_00200, BU_ATCC8492_01752, BU_ATCC8492_02643	
OG0000159	BU_ATCC8492_00056, BU_ATCC8492_02662, BU_ATCC8492_02667	PV_ATCC8482_02173
OG0000160	BU_ATCC8492_00069	PV_ATCC8482_00007, PV_ATCC8482_01797, PV_ATCC8482_03040
