Orthogroup	PV_ATCC8482	PV_ATCC8482_copy
OG0000030	PV_ATCC8482_00720, PV_ATCC8482_01608	PV_ATCC8482_00720, PV_ATCC8482_01608
OG0000031	PV_ATCC8482_00721, PV_ATCC8482_01607	PV_ATCC8482_00721, PV_ATCC8482_01607
OG0000032	PV_ATCC8482_00722, PV_ATCC8482_01606	PV_ATCC8482_00722, PV_ATCC8482_01606
OG0000033	PV_ATCC8482_00723, PV_ATCC8482_01605	PV_ATCC8482_00723, PV_ATCC8482_01605
OG0000034	PV_ATCC8482_00724, PV_ATCC8482_01604	PV_ATCC8482_00724, PV_ATCC8482_01604
OG0000035	PV_ATCC8482_00725, PV_ATCC8482_01603	PV_ATCC8482_00725, PV_ATCC8482_01603
OG0000036	PV_ATCC8482_00726, PV_ATCC8482_01602	PV_ATCC8482_00726, PV_ATCC8482_01602
OG0000037	PV_ATCC8482_00727, PV_ATCC8482_01601	PV_ATCC8482_00727, PV_ATCC8482_01601
OG0000038	PV_ATCC8482_00728, PV_ATCC8482_01600	PV_ATCC8482_00728, PV_ATCC8482_01600
OG0000039	PV_ATCC8482_00729, PV_ATCC8482_01599	PV_ATCC8482_00729, PV_ATCC8482_01599
OG0000040	PV_ATCC8482_00730, PV_ATCC8482_01598	PV_ATCC8482_00730, PV_ATCC8482_01598
OG0000041	PV_ATCC8482_00735, PV_ATCC8482_01593	PV_ATCC8482_00735, PV_ATCC8482_01593
OG0000042	PV_ATCC8482_00996, PV_ATCC8482_03808	PV_ATCC8482_00996, PV_ATCC8482_03808
OG0000043	PV_ATCC8482_00997, PV_ATCC8482_03809	PV_ATCC8482_00997, PV_ATCC8482_03809
OG0000044	PV_ATCC8482_01011, PV_ATCC8482_01019	PV_ATCC8482_01011, PV_ATCC8482_01019
OG0000045	PV_ATCC8482_01012, PV_ATCC8482_01020	PV_ATCC8482_01012, PV_ATCC8482_01020
OG0000046	PV_ATCC8482_01013, PV_ATCC8482_01021	PV_ATCC8482_01013, PV_ATCC8482_01021
OG0000047	PV_ATCC8482_01014, PV_ATCC8482_01022	PV_ATCC8482_01014, PV_ATCC8482_01022
OG0000048	PV_ATCC8482_01016, PV_ATCC8482_01024	PV_ATCC8482_01016, PV_ATCC8482_01024
OG0000049	PV_ATCC8482_01017, PV_ATCC8482_01025	PV_ATCC8482_01017, PV_ATCC8482_01025
OG0000050	PV_ATCC8482_01754, PV_ATCC8482_02969	PV_ATCC8482_01754, PV_ATCC8482_02969
OG0000051	PV_ATCC8482_01755, PV_ATCC8482_02968	PV_ATCC8482_01755, PV_ATCC8482_02968
OG0000052	PV_ATCC8482_02141	PV_ATCC8482_02141
OG0000053	PV_ATCC8482_01916	PV_ATCC8482_01916
OG0000054	PV_ATCC8482_03894	PV_ATCC8482_03894
OG0000055	PV_ATCC8482_00843	PV_ATCC8482_00843
OG0000056	PV_ATCC8482_03233	PV_ATCC8482_03233
OG0000057	PV_ATCC8482_01555	PV_ATCC8482_01555
OG0000058	PV_ATCC8482_01332	PV_ATCC8482_01332
OG0000059	PV_ATCC8482_03008	PV_ATCC8482_03008
OG0000060	PV_ATCC8482_00887	PV_ATCC8482_00887
OG0000061	PV_ATCC8482_00038	PV_ATCC8482_00038
OG0000062	PV_ATCC8482_00460	PV_ATCC8482_00460
OG0000063	PV_ATCC8482_02363	PV_ATCC8482_02363
OG0000064	PV_ATCC8482_03214	PV_ATCC8482_03214
OG0000065	PV_ATCC8482_00588	PV_ATCC8482_00588
OG0000066	PV_ATCC8482_00594	PV_ATCC8482_00594
OG0000067	PV_ATCC8482_00596	PV_ATCC8482_00596
OG0000068	PV_ATCC8482_02179	PV_ATCC8482_02179
OG0000069	PV_ATCC8482_03032	PV_ATCC8482_03032
OG0000070	PV_ATCC8482_00109	PV_ATCC8482_00109
OG0000071	PV_ATCC8482_02348	PV_ATCC8482_02348
OG0000072	PV_ATCC8482_00110	PV_ATCC8482_00110
OG0000073	PV_ATCC8482_02106	PV_ATCC8482_02106
OG0000074	PV_ATCC8482_00163	PV_ATCC8482_00163
OG0000075	PV_ATCC8482_02233	PV_ATCC8482_02233
OG0000076	PV_ATCC8482_00252	PV_ATCC8482_00252
OG0000077	PV_ATCC8482_01738	PV_ATCC8482_01738
OG0000078	PV_ATCC8482_00323	PV_ATCC8482_00323
OG0000079	PV_ATCC8482_02098	PV_ATCC8482_02098
OG0000080	PV_ATCC8482_00430	PV_ATCC8482_00430
OG0000081	PV_ATCC8482_04100	PV_ATCC8482_04100
OG0000082	PV_ATCC8482_00453	PV_ATCC8482_00453
OG0000083	PV_ATCC8482_03209	PV_ATCC8482_03209
OG0000084	PV_ATCC8482_00673	PV_ATCC8482_00673
OG0000085	PV_ATCC8482_01662	PV_ATCC8482_01662
OG0000086	PV_ATCC8482_00676	PV_ATCC8482_00676
OG0000087	PV_ATCC8482_01655	PV_ATCC8482_01655
OG0000088	PV_ATCC8482_00683	PV_ATCC8482_00683
OG0000089	PV_ATCC8482_01642	PV_ATCC8482_01642
OG0000090	PV_ATCC8482_00685	PV_ATCC8482_00685
OG0000091	PV_ATCC8482_01640	PV_ATCC8482_01640
OG0000092	PV_ATCC8482_00687	PV_ATCC8482_00687
OG0000093	PV_ATCC8482_01638	PV_ATCC8482_01638
OG0000094	PV_ATCC8482_00692	PV_ATCC8482_00692
OG0000095	PV_ATCC8482_01634	PV_ATCC8482_01634
OG0000096	PV_ATCC8482_00693	PV_ATCC8482_00693
OG0000097	PV_ATCC8482_01633	PV_ATCC8482_01633
OG0000098	PV_ATCC8482_00695	PV_ATCC8482_00695
OG0000099	PV_ATCC8482_01630	PV_ATCC8482_01630
OG0000100	PV_ATCC8482_00698	PV_ATCC8482_00698
OG0000101	PV_ATCC8482_01627	PV_ATCC8482_01627
OG0000102	PV_ATCC8482_00706	PV_ATCC8482_00706
OG0000103	PV_ATCC8482_01622	PV_ATCC8482_01622
OG0000104	PV_ATCC8482_00732	PV_ATCC8482_00732
OG0000105	PV_ATCC8482_01596	PV_ATCC8482_01596
OG0000106	PV_ATCC8482_00733	PV_ATCC8482_00733
OG0000107	PV_ATCC8482_01595	PV_ATCC8482_01595
OG0000108	PV_ATCC8482_00734	PV_ATCC8482_00734
OG0000109	PV_ATCC8482_01594	PV_ATCC8482_01594
OG0000110	PV_ATCC8482_00736	PV_ATCC8482_00736
OG0000111	PV_ATCC8482_01591	PV_ATCC8482_01591
OG0000112	PV_ATCC8482_00737	PV_ATCC8482_00737
OG0000113	PV_ATCC8482_01589	PV_ATCC8482_01589
OG0000114	PV_ATCC8482_00739	PV_ATCC8482_00739
OG0000115	PV_ATCC8482_01587	PV_ATCC8482_01587
OG0000116	PV_ATCC8482_00751	PV_ATCC8482_00751
OG0000117	PV_ATCC8482_01568	PV_ATCC8482_01568
OG0000118	PV_ATCC8482_00763	PV_ATCC8482_00763
OG0000119	PV_ATCC8482_02769	PV_ATCC8482_02769
OG0000120	PV_ATCC8482_00791	PV_ATCC8482_00791
OG0000121	PV_ATCC8482_04217	PV_ATCC8482_04217
OG0000122	PV_ATCC8482_00995	PV_ATCC8482_00995
OG0000123	PV_ATCC8482_03807	PV_ATCC8482_03807
OG0000124	PV_ATCC8482_00998	PV_ATCC8482_00998
OG0000125	PV_ATCC8482_03810	PV_ATCC8482_03810
OG0000126	PV_ATCC8482_00999	PV_ATCC8482_00999
OG0000127	PV_ATCC8482_03811	PV_ATCC8482_03811
OG0000128	PV_ATCC8482_01001	PV_ATCC8482_01001
OG0000129	PV_ATCC8482_03813	PV_ATCC8482_03813
OG0000130	PV_ATCC8482_01007	PV_ATCC8482_01007
OG0000131	PV_ATCC8482_03595	PV_ATCC8482_03595
OG0000132	PV_ATCC8482_01036	PV_ATCC8482_01036
OG0000133	PV_ATCC8482_03070	PV_ATCC8482_03070
OG0000134	PV_ATCC8482_01195	PV_ATCC8482_01195
OG0000135	PV_ATCC8482_02232	PV_ATCC8482_02232
OG0000136	PV_ATCC8482_01328	PV_ATCC8482_01328
OG0000137	PV_ATCC8482_02717	PV_ATCC8482_02717
OG0000138	PV_ATCC8482_01521	PV_ATCC8482_01521
OG0000139	PV_ATCC8482_03193	PV_ATCC8482_03193
OG0000140	PV_ATCC8482_01522	PV_ATCC8482_01522
OG0000141	PV_ATCC8482_03192	PV_ATCC8482_03192
OG0000142	PV_ATCC8482_01523	PV_ATCC8482_01523
OG0000143	PV_ATCC8482_03191	PV_ATCC8482_03191
OG0000144	PV_ATCC8482_01659	PV_ATCC8482_01659
OG0000145	PV_ATCC8482_01661	PV_ATCC8482_01661
OG0000146	PV_ATCC8482_01851	PV_ATCC8482_01851
OG0000147	PV_ATCC8482_02227	PV_ATCC8482_02227
OG0000148	PV_ATCC8482_01962	PV_ATCC8482_01962
OG0000149	PV_ATCC8482_03615	PV_ATCC8482_03615
OG0000150	PV_ATCC8482_02196	PV_ATCC8482_02196
OG0000151	PV_ATCC8482_03465	PV_ATCC8482_03465
OG0000152	PV_ATCC8482_02216	PV_ATCC8482_02216
OG0000153	PV_ATCC8482_02225	PV_ATCC8482_02225
OG0000154	PV_ATCC8482_02473	PV_ATCC8482_02473
OG0000155	PV_ATCC8482_04053	PV_ATCC8482_04053
OG0000156	PV_ATCC8482_02504	PV_ATCC8482_02504
OG0000157	PV_ATCC8482_04249	PV_ATCC8482_04249
OG0000158	PV_ATCC8482_02728	PV_ATCC8482_02728
OG0000159	PV_ATCC8482_04049	PV_ATCC8482_04049
OG0000160	PV_ATCC8482_02729	PV_ATCC8482_02729
OG0000161	PV_ATCC8482_04050	PV_ATCC8482_04050
OG0000162	PV_ATCC8482_03043	PV_ATCC8482_03043
OG0000163	PV_ATCC8482_03322	PV_ATCC8482_03322
OG0000164	PV_ATCC8482_03055	PV_ATCC8482_03055
OG0000165	PV_ATCC8482_04116	PV_ATCC8482_04116
OG0000166	PV_ATCC8482_03114	PV_ATCC8482_03114
OG0000167	PV_ATCC8482_03974	PV_ATCC8482_03974
OG0000168	PV_ATCC8482_03190	PV_ATCC8482_03190
OG0000169	PV_ATCC8482_03200	PV_ATCC8482_03200
OG0000170	PV_ATCC8482_03207	PV_ATCC8482_03207
OG0000171	PV_ATCC8482_03271	PV_ATCC8482_03271
OG0000172	PV_ATCC8482_03609	PV_ATCC8482_03609
OG0000173	PV_ATCC8482_03656	PV_ATCC8482_03656
OG0000174	PV_ATCC8482_03676	PV_ATCC8482_03676
OG0000175	PV_ATCC8482_04104	PV_ATCC8482_04104
OG0000176	PV_ATCC8482_00001	PV_ATCC8482_00001
OG0000177	PV_ATCC8482_00002	PV_ATCC8482_00002
OG0000178	PV_ATCC8482_00003	PV_ATCC8482_00003
OG0000179	PV_ATCC8482_00004	PV_ATCC8482_00004
OG0000180	PV_ATCC8482_00005	PV_ATCC8482_00005
OG0000181	PV_ATCC8482_00006	PV_ATCC8482_00006
OG0000182	PV_ATCC8482_00007	PV_ATCC8482_00007
OG0000183	PV_ATCC8482_00008	PV_ATCC8482_00008
OG0000184	PV_ATCC8482_00009	PV_ATCC8482_00009
OG0000185	PV_ATCC8482_00010	PV_ATCC8482_00010
OG0000186	PV_ATCC8482_00011	PV_ATCC8482_00011
OG0000187	PV_ATCC8482_00012	PV_ATCC8482_00012
OG0000188	PV_ATCC8482_00013	PV_ATCC8482_00013
OG0000189	PV_ATCC8482_00014	PV_ATCC8482_00014
OG0000190	PV_ATCC8482_00015	PV_ATCC8482_00015
OG0000191	PV_ATCC8482_00016	PV_ATCC8482_00016
OG0000192	PV_ATCC8482_00017	PV_ATCC8482_00017
OG0000193	PV_ATCC8482_00018	PV_ATCC8482_00018
OG0000194	PV_ATCC8482_00019	PV_ATCC8482_00019
OG0000195	PV_ATCC8482_00020	PV_ATCC8482_00020
OG0000196	PV_ATCC8482_00021	PV_ATCC8482_00021
OG0000197	PV_ATCC8482_00022	PV_ATCC8482_00022
OG0000198	PV_ATCC8482_00023	PV_ATCC8482_00023
OG0000199	PV_ATCC8482_00025	PV_ATCC8482_00025
OG0000200	PV_ATCC8482_00026	PV_ATCC8482_00026
OG0000201	PV_ATCC8482_00027	PV_ATCC8482_00027
OG0000202	PV_ATCC8482_00028	PV_ATCC8482_00028
OG0000203	PV_ATCC8482_00029	PV_ATCC8482_00029
OG0000204	PV_ATCC8482_00030	PV_ATCC8482_00030
OG0000205	PV_ATCC8482_00031	PV_ATCC8482_00031
OG0000206	PV_ATCC8482_00032	PV_ATCC8482_00032
OG0000207	PV_ATCC8482_00033	PV_ATCC8482_00033
OG0000208	PV_ATCC8482_00034	PV_ATCC8482_00034
OG0000209	PV_ATCC8482_00035	PV_ATCC8482_00035
OG0000210	PV_ATCC8482_00036	PV_ATCC8482_00036
OG0000211	PV_ATCC8482_00037	PV_ATCC8482_00037
OG0000212	PV_ATCC8482_00040	PV_ATCC8482_00040
OG0000213	PV_ATCC8482_00041	PV_ATCC8482_00041
OG0000214	PV_ATCC8482_00042	PV_ATCC8482_00042
OG0000215	PV_ATCC8482_00043	PV_ATCC8482_00043
OG0000216	PV_ATCC8482_00044	PV_ATCC8482_00044
OG0000217	PV_ATCC8482_00045	PV_ATCC8482_00045
OG0000218	PV_ATCC8482_00046	PV_ATCC8482_00046
OG0000219	PV_ATCC8482_00047	PV_ATCC8482_00047
OG0000220	PV_ATCC8482_00049	PV_ATCC8482_00049
OG0000221	PV_ATCC8482_00050	PV_ATCC8482_00050
OG0000222	PV_ATCC8482_00051	PV_ATCC8482_00051
OG0000223	PV_ATCC8482_00052	PV_ATCC8482_00052
OG0000224	PV_ATCC8482_00053	PV_ATCC8482_00053
OG0000225	PV_ATCC8482_00054	PV_ATCC8482_00054
OG0000226	PV_ATCC8482_00055	PV_ATCC8482_00055
OG0000227	PV_ATCC8482_00056	PV_ATCC8482_00056
OG0000228	PV_ATCC8482_00057	PV_ATCC8482_00057
OG0000229	PV_ATCC8482_00058	PV_ATCC8482_00058
OG0000230	PV_ATCC8482_00059	PV_ATCC8482_00059
OG0000231	PV_ATCC8482_00060	PV_ATCC8482_00060
OG0000232	PV_ATCC8482_00061	PV_ATCC8482_00061
OG0000233	PV_ATCC8482_00062	PV_ATCC8482_00062
OG0000234	PV_ATCC8482_00063	PV_ATCC8482_00063
OG0000235	PV_ATCC8482_00064	PV_ATCC8482_00064
OG0000236	PV_ATCC8482_00065	PV_ATCC8482_00065
OG0000237	PV_ATCC8482_00066	PV_ATCC8482_00066
OG0000238	PV_ATCC8482_00067	PV_ATCC8482_00067
OG0000239	PV_ATCC8482_00068	PV_ATCC8482_00068
OG0000240	PV_ATCC8482_00069	PV_ATCC8482_00069
OG0000241	PV_ATCC8482_00070	PV_ATCC8482_00070
OG0000242	PV_ATCC8482_00071	PV_ATCC8482_00071
OG0000243	PV_ATCC8482_00072	PV_ATCC8482_00072
OG0000244	PV_ATCC8482_00073	PV_ATCC8482_00073
OG0000245	PV_ATCC8482_00074	PV_ATCC8482_00074
OG0000246	PV_ATCC8482_00075	PV_ATCC8482_00075
OG0000247	PV_ATCC8482_00076	PV_ATCC8482_00076
OG0000248	PV_ATCC8482_00077	PV_ATCC8482_00077
OG0000249	PV_ATCC8482_00078	PV_ATCC8482_00078
OG0000250	PV_ATCC8482_00079	PV_ATCC8482_00079
OG0000251	PV_ATCC8482_00080	PV_ATCC8482_00080
OG0000252	PV_ATCC8482_00081	PV_ATCC8482_00081
OG0000253	PV_ATCC8482_00082	PV_ATCC8482_00082
OG0000254	PV_ATCC8482_00083	PV_ATCC8482_00083
OG0000255	PV_ATCC8482_00084	PV_ATCC8482_00084
OG0000256	PV_ATCC8482_00085	PV_ATCC8482_00085
OG0000257	PV_ATCC8482_00086	PV_ATCC8482_00086
OG0000258	PV_ATCC8482_00087	PV_ATCC8482_00087
OG0000259	PV_ATCC8482_00088	PV_ATCC8482_00088
OG0000260	PV_ATCC8482_00089	PV_ATCC8482_00089
OG0000261	PV_ATCC8482_00090	PV_ATCC8482_00090
OG0000262	PV_ATCC8482_00091	PV_ATCC8482_00091
OG0000263	PV_ATCC8482_00092	PV_ATCC8482_00092
OG0000264	PV_ATCC8482_00093	PV_ATCC8482_00093
OG0000265	PV_ATCC8482_00094	PV_ATCC8482_00094
OG0000266	PV_ATCC8482_00095	PV_ATCC8482_00095
OG0000267	PV_ATCC8482_00096	PV_ATCC8482_00096
OG0000268	PV_ATCC8482_00097	PV_ATCC8482_00097
OG0000269	PV_ATCC8482_00098	PV_ATCC8482_00098
OG0000270	PV_ATCC8482_00099	PV_ATCC8482_00099
OG0000271	PV_ATCC8482_00100	PV_ATCC8482_00100
OG0000272	PV_ATCC8482_00101	PV_ATCC8482_00101
OG0000273	PV_ATCC8482_00102	PV_ATCC8482_00102
OG0000274	PV_ATCC8482_00103	PV_ATCC8482_00103
OG0000275	PV_ATCC8482_00104	PV_ATCC8482_00104
OG0000276	PV_ATCC8482_00105	PV_ATCC8482_00105
OG0000277	PV_ATCC8482_00106	PV_ATCC8482_00106
OG0000278	PV_ATCC8482_00107	PV_ATCC8482_00107
OG0000279	PV_ATCC8482_00108	PV_ATCC8482_00108
OG0000280	PV_ATCC8482_00111	PV_ATCC8482_00111
OG0000281	PV_ATCC8482_00112	PV_ATCC8482_00112
OG0000282	PV_ATCC8482_00113	PV_ATCC8482_00113
OG0000283	PV_ATCC8482_00114	PV_ATCC8482_00114
OG0000284	PV_ATCC8482_00115	PV_ATCC8482_00115
OG0000285	PV_ATCC8482_00116	PV_ATCC8482_00116
OG0000286	PV_ATCC8482_00117	PV_ATCC8482_00117
OG0000287	PV_ATCC8482_00118	PV_ATCC8482_00118
OG0000288	PV_ATCC8482_00119	PV_ATCC8482_00119
OG0000289	PV_ATCC8482_00120	PV_ATCC8482_00120
OG0000290	PV_ATCC8482_00121	PV_ATCC8482_00121
OG0000291	PV_ATCC8482_00122	PV_ATCC8482_00122
OG0000292	PV_ATCC8482_00123	PV_ATCC8482_00123
OG0000293	PV_ATCC8482_00124	PV_ATCC8482_00124
OG0000294	PV_ATCC8482_00125	PV_ATCC8482_00125
OG0000295	PV_ATCC8482_00126	PV_ATCC8482_00126
OG0000296	PV_ATCC8482_00127	PV_ATCC8482_00127
OG0000297	PV_ATCC8482_00128	PV_ATCC8482_00128
OG0000298	PV_ATCC8482_00129	PV_ATCC8482_00129
OG0000299	PV_ATCC8482_00130	PV_ATCC8482_00130
OG0000300	PV_ATCC8482_00131	PV_ATCC8482_00131
OG0000301	PV_ATCC8482_00132	PV_ATCC8482_00132
OG0000302	PV_ATCC8482_00133	PV_ATCC8482_00133
OG0000303	PV_ATCC8482_00134	PV_ATCC8482_00134
OG0000304	PV_ATCC8482_00135	PV_ATCC8482_00135
OG0000305	PV_ATCC8482_00136	PV_ATCC8482_00136
OG0000306	PV_ATCC8482_00137	PV_ATCC8482_00137
OG0000307	PV_ATCC8482_00138	PV_ATCC8482_00138
OG0000308	PV_ATCC8482_00139	PV_ATCC8482_00139
OG0000309	PV_ATCC8482_00140	PV_ATCC8482_00140
OG0000310	PV_ATCC8482_00141	PV_ATCC8482_00141
OG0000311	PV_ATCC8482_00142	PV_ATCC8482_00142
OG0000312	PV_ATCC8482_00143	PV_ATCC8482_00143
OG0000313	PV_ATCC8482_00144	PV_ATCC8482_00144
OG0000314	PV_ATCC8482_00145	PV_ATCC8482_00145
OG0000315	PV_ATCC8482_00148	PV_ATCC8482_00148
OG0000316	PV_ATCC8482_00149	PV_ATCC8482_00149
OG0000317	PV_ATCC8482_00150	PV_ATCC8482_00150
OG0000318	PV_ATCC8482_00151	PV_ATCC8482_00151
OG0000319	PV_ATCC8482_00152	PV_ATCC8482_00152
OG0000320	PV_ATCC8482_00153	PV_ATCC8482_00153
OG0000321	PV_ATCC8482_00154	PV_ATCC8482_00154
OG0000322	PV_ATCC8482_00155	PV_ATCC8482_00155
OG0000323	PV_ATCC8482_00156	PV_ATCC8482_00156
OG0000324	PV_ATCC8482_00157	PV_ATCC8482_00157
OG0000325	PV_ATCC8482_00158	PV_ATCC8482_00158
OG0000326	PV_ATCC8482_00159	PV_ATCC8482_00159
OG0000327	PV_ATCC8482_00160	PV_ATCC8482_00160
OG0000328	PV_ATCC8482_00161	PV_ATCC8482_00161
OG0000329	PV_ATCC8482_00162	PV_ATCC8482_00162
OG0000330	PV_ATCC8482_00164	PV_ATCC8482_00164
OG0000331	PV_ATCC8482_00165	PV_ATCC8482_00165
OG0000332	PV_ATCC8482_00166	PV_ATCC8482_00166
OG0000333	PV_ATCC8482_00167	PV_ATCC8482_00167
OG0000334	PV_ATCC8482_00168	PV_ATCC8482_00168
OG0000335	PV_ATCC8482_00169	PV_ATCC8482_00169
OG0000336	PV_ATCC8482_00170	PV_ATCC8482_00170
OG0000337	PV_ATCC8482_00171	PV_ATCC8482_00171
OG0000338	PV_ATCC8482_00172	PV_ATCC8482_00172
OG0000339	PV_ATCC8482_00173	PV_ATCC8482_00173
OG0000340	PV_ATCC8482_00174	PV_ATCC8482_00174
OG0000341	PV_ATCC8482_00175	PV_ATCC8482_00175
OG0000342	PV_ATCC8482_00176	PV_ATCC8482_00176
OG0000343	PV_ATCC8482_00177	PV_ATCC8482_00177
OG0000344	PV_ATCC8482_00179	PV_ATCC8482_00179
OG0000345	PV_ATCC8482_00180	PV_ATCC8482_00180
OG0000346	PV_ATCC8482_00181	PV_ATCC8482_00181
OG0000347	PV_ATCC8482_00182	PV_ATCC8482_00182
OG0000348	PV_ATCC8482_00183	PV_ATCC8482_00183
OG0000349	PV_ATCC8482_00184	PV_ATCC8482_00184
OG0000350	PV_ATCC8482_00185	PV_ATCC8482_00185
OG0000351	PV_ATCC8482_00186	PV_ATCC8482_00186
OG0000352	PV_ATCC8482_00187	PV_ATCC8482_00187
OG0000353	PV_ATCC8482_00188	PV_ATCC8482_00188
OG0000354	PV_ATCC8482_00189	PV_ATCC8482_00189
OG0000355	PV_ATCC8482_00190	PV_ATCC8482_00190
OG0000356	PV_ATCC8482_00191	PV_ATCC8482_00191
OG0000357	PV_ATCC8482_00192	PV_ATCC8482_00192
OG0000358	PV_ATCC8482_00193	PV_ATCC8482_00193
OG0000359	PV_ATCC8482_00194	PV_ATCC8482_00194
OG0000360	PV_ATCC8482_00195	PV_ATCC8482_00195
OG0000361	PV_ATCC8482_00196	PV_ATCC8482_00196
OG0000362	PV_ATCC8482_00197	PV_ATCC8482_00197
OG0000363	PV_ATCC8482_00198	PV_ATCC8482_00198
OG0000364	PV_ATCC8482_00199	PV_ATCC8482_00199
OG0000365	PV_ATCC8482_00200	PV_ATCC8482_00200
OG0000366	PV_ATCC8482_00201	PV_ATCC8482_00201
OG0000367	PV_ATCC8482_00202	PV_ATCC8482_00202
