Orthogroup	BU_ATCC8492	BU_ATCC8492_copy	BU_ATCC8492_copy_copy
OG0000012	BU_ATCC8492_01501, BU_ATCC8492_03917	BU_ATCC8492_01501, BU_ATCC8492_03917	BU_ATCC8492_01501, BU_ATCC8492_03917
OG0000013	BU_ATCC8492_01503, BU_ATCC8492_03919	BU_ATCC8492_01503, BU_ATCC8492_03919	BU_ATCC8492_01503, BU_ATCC8492_03919
OG0000014	BU_ATCC8492_01504, BU_ATCC8492_03912	BU_ATCC8492_01504, BU_ATCC8492_03912	BU_ATCC8492_01504, BU_ATCC8492_03912
OG0000015	BU_ATCC8492_01505, BU_ATCC8492_03911	BU_ATCC8492_01505, BU_ATCC8492_03911	BU_ATCC8492_01505, BU_ATCC8492_03911
OG0000016	BU_ATCC8492_01506, BU_ATCC8492_03910	BU_ATCC8492_01506, BU_ATCC8492_03910	BU_ATCC8492_01506, BU_ATCC8492_03910
OG0000017	BU_ATCC8492_01507, BU_ATCC8492_03909	BU_ATCC8492_01507, BU_ATCC8492_03909	BU_ATCC8492_01507, BU_ATCC8492_03909
OG0000018	BU_ATCC8492_01508, BU_ATCC8492_03908	BU_ATCC8492_01508, BU_ATCC8492_03908	BU_ATCC8492_01508, BU_ATCC8492_03908
OG0000019	BU_ATCC8492_01509, BU_ATCC8492_03916	BU_ATCC8492_01509, BU_ATCC8492_03916	BU_ATCC8492_01509, BU_ATCC8492_03916
OG0000020	BU_ATCC8492_01510, BU_ATCC8492_03915	BU_ATCC8492_01510, BU_ATCC8492_03915	BU_ATCC8492_01510, BU_ATCC8492_03915
OG0000021	BU_ATCC8492_01511, BU_ATCC8492_03914	BU_ATCC8492_01511, BU_ATCC8492_03914	BU_ATCC8492_01511, BU_ATCC8492_03914
OG0000022	BU_ATCC8492_02350, BU_ATCC8492_02359	BU_ATCC8492_02350, BU_ATCC8492_02359	BU_ATCC8492_02350, BU_ATCC8492_02359
OG0000023	BU_ATCC8492_00026	BU_ATCC8492_00026	BU_ATCC8492_00026
OG0000024	BU_ATCC8492_00206	BU_ATCC8492_00206	BU_ATCC8492_00206
OG0000025	BU_ATCC8492_01940	BU_ATCC8492_01940	BU_ATCC8492_01940
OG0000026	BU_ATCC8492_02637	BU_ATCC8492_02637	BU_ATCC8492_02637
OG0000027	BU_ATCC8492_00318	BU_ATCC8492_00318	BU_ATCC8492_00318
OG0000028	BU_ATCC8492_00622	BU_ATCC8492_00622	BU_ATCC8492_00622
OG0000029	BU_ATCC8492_00286	BU_ATCC8492_00286	BU_ATCC8492_00286
OG0000030	BU_ATCC8492_01027	BU_ATCC8492_01027	BU_ATCC8492_01027
OG0000031	BU_ATCC8492_01266	BU_ATCC8492_01266	BU_ATCC8492_01266
OG0000032	BU_ATCC8492_01313	BU_ATCC8492_01313	BU_ATCC8492_01313
OG0000033	BU_ATCC8492_01303	BU_ATCC8492_01303	BU_ATCC8492_01303
OG0000034	BU_ATCC8492_01306	BU_ATCC8492_01306	BU_ATCC8492_01306
OG0000035	BU_ATCC8492_00592	BU_ATCC8492_00592	BU_ATCC8492_00592
OG0000036	BU_ATCC8492_00595	BU_ATCC8492_00595	BU_ATCC8492_00595
OG0000037	BU_ATCC8492_00714	BU_ATCC8492_00714	BU_ATCC8492_00714
OG0000038	BU_ATCC8492_00943	BU_ATCC8492_00943	BU_ATCC8492_00943
OG0000039	BU_ATCC8492_01123	BU_ATCC8492_01123	BU_ATCC8492_01123
OG0000040	BU_ATCC8492_01395	BU_ATCC8492_01395	BU_ATCC8492_01395
OG0000041	BU_ATCC8492_00996	BU_ATCC8492_00996	BU_ATCC8492_00996
OG0000042	BU_ATCC8492_01802	BU_ATCC8492_01802	BU_ATCC8492_01802
OG0000043	BU_ATCC8492_01809	BU_ATCC8492_01809	BU_ATCC8492_01809
OG0000044	BU_ATCC8492_01260	BU_ATCC8492_01260	BU_ATCC8492_01260
OG0000045	BU_ATCC8492_01267	BU_ATCC8492_01267	BU_ATCC8492_01267
OG0000046	BU_ATCC8492_01305	BU_ATCC8492_01305	BU_ATCC8492_01305
OG0000047	BU_ATCC8492_01517	BU_ATCC8492_01517	BU_ATCC8492_01517
OG0000048	BU_ATCC8492_01914	BU_ATCC8492_01914	BU_ATCC8492_01914
OG0000049	BU_ATCC8492_02878	BU_ATCC8492_02878	BU_ATCC8492_02878
OG0000050	BU_ATCC8492_03424	BU_ATCC8492_03424	BU_ATCC8492_03424
OG0000051	BU_ATCC8492_01915	BU_ATCC8492_01915	BU_ATCC8492_01915
OG0000052	BU_ATCC8492_02881	BU_ATCC8492_02881	BU_ATCC8492_02881
OG0000053	BU_ATCC8492_03423	BU_ATCC8492_03423	BU_ATCC8492_03423
OG0000054	BU_ATCC8492_01917	BU_ATCC8492_01917	BU_ATCC8492_01917
OG0000055	BU_ATCC8492_02882	BU_ATCC8492_02882	BU_ATCC8492_02882
OG0000056	BU_ATCC8492_03422	BU_ATCC8492_03422	BU_ATCC8492_03422
OG0000057	BU_ATCC8492_02229	BU_ATCC8492_02229	BU_ATCC8492_02229
OG0000058	BU_ATCC8492_03177	BU_ATCC8492_03177	BU_ATCC8492_03177
OG0000059	BU_ATCC8492_03795	BU_ATCC8492_03795	BU_ATCC8492_03795
OG0000060	BU_ATCC8492_02548	BU_ATCC8492_02548	BU_ATCC8492_02548
OG0000061	BU_ATCC8492_02747	BU_ATCC8492_02747	BU_ATCC8492_02747
OG0000062	BU_ATCC8492_02886	BU_ATCC8492_02886	BU_ATCC8492_02886
OG0000063	BU_ATCC8492_02549	BU_ATCC8492_02549	BU_ATCC8492_02549
OG0000064	BU_ATCC8492_02748	BU_ATCC8492_02748	BU_ATCC8492_02748
OG0000065	BU_ATCC8492_02887	BU_ATCC8492_02887	BU_ATCC8492_02887
OG0000066	BU_ATCC8492_00038	BU_ATCC8492_00038	BU_ATCC8492_00038
OG0000067	BU_ATCC8492_00195	BU_ATCC8492_00195	BU_ATCC8492_00195
OG0000068	BU_ATCC8492_00056	BU_ATCC8492_00056	BU_ATCC8492_00056
OG0000069	BU_ATCC8492_02662	BU_ATCC8492_02662	BU_ATCC8492_02662
OG0000070	BU_ATCC8492_00086	BU_ATCC8492_00086	BU_ATCC8492_00086
OG0000071	BU_ATCC8492_03548	BU_ATCC8492_03548	BU_ATCC8492_03548
OG0000072	BU_ATCC8492_00089	BU_ATCC8492_00089	BU_ATCC8492_00089
OG0000073	BU_ATCC8492_03561	BU_ATCC8492_03561	BU_ATCC8492_03561
OG0000074	BU_ATCC8492_00090	BU_ATCC8492_00090	BU_ATCC8492_00090
OG0000075	BU_ATCC8492_03562	BU_ATCC8492_03562	BU_ATCC8492_03562
OG0000076	BU_ATCC8492_00180	BU_ATCC8492_00180	BU_ATCC8492_00180
OG0000077	BU_ATCC8492_02672	BU_ATCC8492_02672	BU_ATCC8492_02672
OG0000078	BU_ATCC8492_00186	BU_ATCC8492_00186	BU_ATCC8492_00186
OG0000079	BU_ATCC8492_02660	BU_ATCC8492_02660	BU_ATCC8492_02660
OG0000080	BU_ATCC8492_00288	BU_ATCC8492_00288	BU_ATCC8492_00288
OG0000081	BU_ATCC8492_01854	BU_ATCC8492_01854	BU_ATCC8492_01854
OG0000082	BU_ATCC8492_00312	BU_ATCC8492_00312	BU_ATCC8492_00312
OG0000083	BU_ATCC8492_02278	BU_ATCC8492_02278	BU_ATCC8492_02278
OG0000084	BU_ATCC8492_00315	BU_ATCC8492_00315	BU_ATCC8492_00315
OG0000085	BU_ATCC8492_01032	BU_ATCC8492_01032	BU_ATCC8492_01032
OG0000086	BU_ATCC8492_00317	BU_ATCC8492_00317	BU_ATCC8492_00317
OG0000087	BU_ATCC8492_01054	BU_ATCC8492_01054	BU_ATCC8492_01054
OG0000088	BU_ATCC8492_00322	BU_ATCC8492_00322	BU_ATCC8492_00322
OG0000089	BU_ATCC8492_01028	BU_ATCC8492_01028	BU_ATCC8492_01028
OG0000090	BU_ATCC8492_00328	BU_ATCC8492_00328	BU_ATCC8492_00328
OG0000091	BU_ATCC8492_01022	BU_ATCC8492_01022	BU_ATCC8492_01022
OG0000092	BU_ATCC8492_00347	BU_ATCC8492_00347	BU_ATCC8492_00347
OG0000093	BU_ATCC8492_03197	BU_ATCC8492_03197	BU_ATCC8492_03197
OG0000094	BU_ATCC8492_00369	BU_ATCC8492_00369	BU_ATCC8492_00369
OG0000095	BU_ATCC8492_03530	BU_ATCC8492_03530	BU_ATCC8492_03530
OG0000096	BU_ATCC8492_00407	BU_ATCC8492_00407	BU_ATCC8492_00407
OG0000097	BU_ATCC8492_00651	BU_ATCC8492_00651	BU_ATCC8492_00651
OG0000098	BU_ATCC8492_00416	BU_ATCC8492_00416	BU_ATCC8492_00416
OG0000099	BU_ATCC8492_01729	BU_ATCC8492_01729	BU_ATCC8492_01729
OG0000100	BU_ATCC8492_00435	BU_ATCC8492_00435	BU_ATCC8492_00435
OG0000101	BU_ATCC8492_00575	BU_ATCC8492_00575	BU_ATCC8492_00575
OG0000102	BU_ATCC8492_00438	BU_ATCC8492_00438	BU_ATCC8492_00438
OG0000103	BU_ATCC8492_00439	BU_ATCC8492_00439	BU_ATCC8492_00439
OG0000104	BU_ATCC8492_00538	BU_ATCC8492_00538	BU_ATCC8492_00538
OG0000105	BU_ATCC8492_01270	BU_ATCC8492_01270	BU_ATCC8492_01270
OG0000106	BU_ATCC8492_00555	BU_ATCC8492_00555	BU_ATCC8492_00555
OG0000107	BU_ATCC8492_01200	BU_ATCC8492_01200	BU_ATCC8492_01200
OG0000108	BU_ATCC8492_00559	BU_ATCC8492_00559	BU_ATCC8492_00559
OG0000109	BU_ATCC8492_01194	BU_ATCC8492_01194	BU_ATCC8492_01194
OG0000110	BU_ATCC8492_00793	BU_ATCC8492_00793	BU_ATCC8492_00793
OG0000111	BU_ATCC8492_01076	BU_ATCC8492_01076	BU_ATCC8492_01076
OG0000112	BU_ATCC8492_00798	BU_ATCC8492_00798	BU_ATCC8492_00798
OG0000113	BU_ATCC8492_01055	BU_ATCC8492_01055	BU_ATCC8492_01055
OG0000114	BU_ATCC8492_00879	BU_ATCC8492_00879	BU_ATCC8492_00879
OG0000115	BU_ATCC8492_00888	BU_ATCC8492_00888	BU_ATCC8492_00888
OG0000116	BU_ATCC8492_00883	BU_ATCC8492_00883	BU_ATCC8492_00883
OG0000117	BU_ATCC8492_01035	BU_ATCC8492_01035	BU_ATCC8492_01035
OG0000118	BU_ATCC8492_00916	BU_ATCC8492_00916	BU_ATCC8492_00916
OG0000119	BU_ATCC8492_00920	BU_ATCC8492_00920	BU_ATCC8492_00920
OG0000120	BU_ATCC8492_00979	BU_ATCC8492_00979	BU_ATCC8492_00979
OG0000121	BU_ATCC8492_00997	BU_ATCC8492_00997	BU_ATCC8492_00997
OG0000122	BU_ATCC8492_00981	BU_ATCC8492_00981	BU_ATCC8492_00981
OG0000123	BU_ATCC8492_01074	BU_ATCC8492_01074	BU_ATCC8492_01074
OG0000124	BU_ATCC8492_00982	BU_ATCC8492_00982	BU_ATCC8492_00982
OG0000125	BU_ATCC8492_00990	BU_ATCC8492_00990	BU_ATCC8492_00990
OG0000126	BU_ATCC8492_00983	BU_ATCC8492_00983	BU_ATCC8492_00983
OG0000127	BU_ATCC8492_00989	BU_ATCC8492_00989	BU_ATCC8492_00989
OG0000128	BU_ATCC8492_01007	BU_ATCC8492_01007	BU_ATCC8492_01007
OG0000129	BU_ATCC8492_01024	BU_ATCC8492_01024	BU_ATCC8492_01024
OG0000130	BU_ATCC8492_01098	BU_ATCC8492_01098	BU_ATCC8492_01098
OG0000131	BU_ATCC8492_01245	BU_ATCC8492_01245	BU_ATCC8492_01245
OG0000132	BU_ATCC8492_01198	BU_ATCC8492_01198	BU_ATCC8492_01198
OG0000133	BU_ATCC8492_01199	BU_ATCC8492_01199	BU_ATCC8492_01199
OG0000134	BU_ATCC8492_01275	BU_ATCC8492_01275	BU_ATCC8492_01275
OG0000135	BU_ATCC8492_02818	BU_ATCC8492_02818	BU_ATCC8492_02818
OG0000136	BU_ATCC8492_01276	BU_ATCC8492_01276	BU_ATCC8492_01276
OG0000137	BU_ATCC8492_02817	BU_ATCC8492_02817	BU_ATCC8492_02817
OG0000138	BU_ATCC8492_01282	BU_ATCC8492_01282	BU_ATCC8492_01282
OG0000139	BU_ATCC8492_03295	BU_ATCC8492_03295	BU_ATCC8492_03295
OG0000140	BU_ATCC8492_01444	BU_ATCC8492_01444	BU_ATCC8492_01444
OG0000141	BU_ATCC8492_03822	BU_ATCC8492_03822	BU_ATCC8492_03822
OG0000142	BU_ATCC8492_01467	BU_ATCC8492_01467	BU_ATCC8492_01467
OG0000143	BU_ATCC8492_02051	BU_ATCC8492_02051	BU_ATCC8492_02051
OG0000144	BU_ATCC8492_01502	BU_ATCC8492_01502	BU_ATCC8492_01502
OG0000145	BU_ATCC8492_03918	BU_ATCC8492_03918	BU_ATCC8492_03918
OG0000146	BU_ATCC8492_01923	BU_ATCC8492_01923	BU_ATCC8492_01923
OG0000147	BU_ATCC8492_02538	BU_ATCC8492_02538	BU_ATCC8492_02538
OG0000148	BU_ATCC8492_01930	BU_ATCC8492_01930	BU_ATCC8492_01930
OG0000149	BU_ATCC8492_02645	BU_ATCC8492_02645	BU_ATCC8492_02645
OG0000150	BU_ATCC8492_01973	BU_ATCC8492_01973	BU_ATCC8492_01973
OG0000151	BU_ATCC8492_01975	BU_ATCC8492_01975	BU_ATCC8492_01975
OG0000152	BU_ATCC8492_02224	BU_ATCC8492_02224	BU_ATCC8492_02224
OG0000153	BU_ATCC8492_03498	BU_ATCC8492_03498	BU_ATCC8492_03498
OG0000154	BU_ATCC8492_02351	BU_ATCC8492_02351	BU_ATCC8492_02351
OG0000155	BU_ATCC8492_02358	BU_ATCC8492_02358	BU_ATCC8492_02358
OG0000156	BU_ATCC8492_02407	BU_ATCC8492_02407	BU_ATCC8492_02407
OG0000157	BU_ATCC8492_02455	BU_ATCC8492_02455	BU_ATCC8492_02455
OG0000158	BU_ATCC8492_02409	BU_ATCC8492_02409	BU_ATCC8492_02409
OG0000159	BU_ATCC8492_02454	BU_ATCC8492_02454	BU_ATCC8492_02454
OG0000160	BU_ATCC8492_02452	BU_ATCC8492_02452	BU_ATCC8492_02452
OG0000161	BU_ATCC8492_03176	BU_ATCC8492_03176	BU_ATCC8492_03176
OG0000162	BU_ATCC8492_02750	BU_ATCC8492_02750	BU_ATCC8492_02750
OG0000163	BU_ATCC8492_03222	BU_ATCC8492_03222	BU_ATCC8492_03222
OG0000164	BU_ATCC8492_02876	BU_ATCC8492_02876	BU_ATCC8492_02876
OG0000165	BU_ATCC8492_03426	BU_ATCC8492_03426	BU_ATCC8492_03426
OG0000166	BU_ATCC8492_02877	BU_ATCC8492_02877	BU_ATCC8492_02877
OG0000167	BU_ATCC8492_03425	BU_ATCC8492_03425	BU_ATCC8492_03425
OG0000168	BU_ATCC8492_03067	BU_ATCC8492_03067	BU_ATCC8492_03067
OG0000169	BU_ATCC8492_03349	BU_ATCC8492_03349	BU_ATCC8492_03349
OG0000170	BU_ATCC8492_03068	BU_ATCC8492_03068	BU_ATCC8492_03068
OG0000171	BU_ATCC8492_03348	BU_ATCC8492_03348	BU_ATCC8492_03348
OG0000172	BU_ATCC8492_03083	BU_ATCC8492_03083	BU_ATCC8492_03083
OG0000173	BU_ATCC8492_03431	BU_ATCC8492_03431	BU_ATCC8492_03431
OG0000174	BU_ATCC8492_03209	BU_ATCC8492_03209	BU_ATCC8492_03209
OG0000175	BU_ATCC8492_03418	BU_ATCC8492_03418	BU_ATCC8492_03418
OG0000176	BU_ATCC8492_03240	BU_ATCC8492_03240	BU_ATCC8492_03240
OG0000177	BU_ATCC8492_03743	BU_ATCC8492_03743	BU_ATCC8492_03743
OG0000178	BU_ATCC8492_03556	BU_ATCC8492_03556	BU_ATCC8492_03556
OG0000179	BU_ATCC8492_03565	BU_ATCC8492_03565	BU_ATCC8492_03565
OG0000180	BU_ATCC8492_03721	BU_ATCC8492_03721	BU_ATCC8492_03721
OG0000181	BU_ATCC8492_03722	BU_ATCC8492_03722	BU_ATCC8492_03722
OG0000182	BU_ATCC8492_03776	BU_ATCC8492_03776	BU_ATCC8492_03776
OG0000183	BU_ATCC8492_03794	BU_ATCC8492_03794	BU_ATCC8492_03794
OG0000184	BU_ATCC8492_00001	BU_ATCC8492_00001	BU_ATCC8492_00001
OG0000185	BU_ATCC8492_00002	BU_ATCC8492_00002	BU_ATCC8492_00002
OG0000186	BU_ATCC8492_00003	BU_ATCC8492_00003	BU_ATCC8492_00003
OG0000187	BU_ATCC8492_00004	BU_ATCC8492_00004	BU_ATCC8492_00004
OG0000188	BU_ATCC8492_00005	BU_ATCC8492_00005	BU_ATCC8492_00005
OG0000189	BU_ATCC8492_00006	BU_ATCC8492_00006	BU_ATCC8492_00006
OG0000190	BU_ATCC8492_00007	BU_ATCC8492_00007	BU_ATCC8492_00007
OG0000191	BU_ATCC8492_00008	BU_ATCC8492_00008	BU_ATCC8492_00008
OG0000192	BU_ATCC8492_00009	BU_ATCC8492_00009	BU_ATCC8492_00009
OG0000193	BU_ATCC8492_00010	BU_ATCC8492_00010	BU_ATCC8492_00010
OG0000194	BU_ATCC8492_00011	BU_ATCC8492_00011	BU_ATCC8492_00011
OG0000195	BU_ATCC8492_00012	BU_ATCC8492_00012	BU_ATCC8492_00012
OG0000196	BU_ATCC8492_00013	BU_ATCC8492_00013	BU_ATCC8492_00013
OG0000197	BU_ATCC8492_00014	BU_ATCC8492_00014	BU_ATCC8492_00014
OG0000198	BU_ATCC8492_00015	BU_ATCC8492_00015	BU_ATCC8492_00015
OG0000199	BU_ATCC8492_00016	BU_ATCC8492_00016	BU_ATCC8492_00016
OG0000200	BU_ATCC8492_00017	BU_ATCC8492_00017	BU_ATCC8492_00017
OG0000201	BU_ATCC8492_00018	BU_ATCC8492_00018	BU_ATCC8492_00018
OG0000202	BU_ATCC8492_00019	BU_ATCC8492_00019	BU_ATCC8492_00019
OG0000203	BU_ATCC8492_00020	BU_ATCC8492_00020	BU_ATCC8492_00020
OG0000204	BU_ATCC8492_00021	BU_ATCC8492_00021	BU_ATCC8492_00021
OG0000205	BU_ATCC8492_00022	BU_ATCC8492_00022	BU_ATCC8492_00022
OG0000206	BU_ATCC8492_00023	BU_ATCC8492_00023	BU_ATCC8492_00023
OG0000207	BU_ATCC8492_00024	BU_ATCC8492_00024	BU_ATCC8492_00024
OG0000208	BU_ATCC8492_00025	BU_ATCC8492_00025	BU_ATCC8492_00025
OG0000209	BU_ATCC8492_00027	BU_ATCC8492_00027	BU_ATCC8492_00027
OG0000210	BU_ATCC8492_00028	BU_ATCC8492_00028	BU_ATCC8492_00028
OG0000211	BU_ATCC8492_00029	BU_ATCC8492_00029	BU_ATCC8492_00029
OG0000212	BU_ATCC8492_00030	BU_ATCC8492_00030	BU_ATCC8492_00030
OG0000213	BU_ATCC8492_00031	BU_ATCC8492_00031	BU_ATCC8492_00031
OG0000214	BU_ATCC8492_00032	BU_ATCC8492_00032	BU_ATCC8492_00032
OG0000215	BU_ATCC8492_00033	BU_ATCC8492_00033	BU_ATCC8492_00033
OG0000216	BU_ATCC8492_00034	BU_ATCC8492_00034	BU_ATCC8492_00034
OG0000217	BU_ATCC8492_00035	BU_ATCC8492_00035	BU_ATCC8492_00035
OG0000218	BU_ATCC8492_00036	BU_ATCC8492_00036	BU_ATCC8492_00036
OG0000219	BU_ATCC8492_00039	BU_ATCC8492_00039	BU_ATCC8492_00039
OG0000220	BU_ATCC8492_00040	BU_ATCC8492_00040	BU_ATCC8492_00040
OG0000221	BU_ATCC8492_00041	BU_ATCC8492_00041	BU_ATCC8492_00041
OG0000222	BU_ATCC8492_00042	BU_ATCC8492_00042	BU_ATCC8492_00042
OG0000223	BU_ATCC8492_00043	BU_ATCC8492_00043	BU_ATCC8492_00043
OG0000224	BU_ATCC8492_00044	BU_ATCC8492_00044	BU_ATCC8492_00044
OG0000225	BU_ATCC8492_00045	BU_ATCC8492_00045	BU_ATCC8492_00045
OG0000226	BU_ATCC8492_00046	BU_ATCC8492_00046	BU_ATCC8492_00046
OG0000227	BU_ATCC8492_00047	BU_ATCC8492_00047	BU_ATCC8492_00047
OG0000228	BU_ATCC8492_00048	BU_ATCC8492_00048	BU_ATCC8492_00048
OG0000229	BU_ATCC8492_00049	BU_ATCC8492_00049	BU_ATCC8492_00049
OG0000230	BU_ATCC8492_00050	BU_ATCC8492_00050	BU_ATCC8492_00050
OG0000231	BU_ATCC8492_00051	BU_ATCC8492_00051	BU_ATCC8492_00051
OG0000232	BU_ATCC8492_00052	BU_ATCC8492_00052	BU_ATCC8492_00052
OG0000233	BU_ATCC8492_00053	BU_ATCC8492_00053	BU_ATCC8492_00053
OG0000234	BU_ATCC8492_00054	BU_ATCC8492_00054	BU_ATCC8492_00054
OG0000235	BU_ATCC8492_00055	BU_ATCC8492_00055	BU_ATCC8492_00055
OG0000236	BU_ATCC8492_00057	BU_ATCC8492_00057	BU_ATCC8492_00057
OG0000237	BU_ATCC8492_00058	BU_ATCC8492_00058	BU_ATCC8492_00058
OG0000238	BU_ATCC8492_00059	BU_ATCC8492_00059	BU_ATCC8492_00059
OG0000239	BU_ATCC8492_00060	BU_ATCC8492_00060	BU_ATCC8492_00060
OG0000240	BU_ATCC8492_00061	BU_ATCC8492_00061	BU_ATCC8492_00061
OG0000241	BU_ATCC8492_00062	BU_ATCC8492_00062	BU_ATCC8492_00062
OG0000242	BU_ATCC8492_00063	BU_ATCC8492_00063	BU_ATCC8492_00063
OG0000243	BU_ATCC8492_00064	BU_ATCC8492_00064	BU_ATCC8492_00064
OG0000244	BU_ATCC8492_00065	BU_ATCC8492_00065	BU_ATCC8492_00065
OG0000245	BU_ATCC8492_00066	BU_ATCC8492_00066	BU_ATCC8492_00066
OG0000246	BU_ATCC8492_00067	BU_ATCC8492_00067	BU_ATCC8492_00067
OG0000247	BU_ATCC8492_00068	BU_ATCC8492_00068	BU_ATCC8492_00068
OG0000248	BU_ATCC8492_00069	BU_ATCC8492_00069	BU_ATCC8492_00069
OG0000249	BU_ATCC8492_00070	BU_ATCC8492_00070	BU_ATCC8492_00070
OG0000250	BU_ATCC8492_00071	BU_ATCC8492_00071	BU_ATCC8492_00071
OG0000251	BU_ATCC8492_00072	BU_ATCC8492_00072	BU_ATCC8492_00072
OG0000252	BU_ATCC8492_00073	BU_ATCC8492_00073	BU_ATCC8492_00073
OG0000253	BU_ATCC8492_00074	BU_ATCC8492_00074	BU_ATCC8492_00074
OG0000254	BU_ATCC8492_00075	BU_ATCC8492_00075	BU_ATCC8492_00075
OG0000255	BU_ATCC8492_00076	BU_ATCC8492_00076	BU_ATCC8492_00076
OG0000256	BU_ATCC8492_00077	BU_ATCC8492_00077	BU_ATCC8492_00077
OG0000257	BU_ATCC8492_00078	BU_ATCC8492_00078	BU_ATCC8492_00078
OG0000258	BU_ATCC8492_00079	BU_ATCC8492_00079	BU_ATCC8492_00079
OG0000259	BU_ATCC8492_00080	BU_ATCC8492_00080	BU_ATCC8492_00080
OG0000260	BU_ATCC8492_00081	BU_ATCC8492_00081	BU_ATCC8492_00081
OG0000261	BU_ATCC8492_00082	BU_ATCC8492_00082	BU_ATCC8492_00082
OG0000262	BU_ATCC8492_00083	BU_ATCC8492_00083	BU_ATCC8492_00083
OG0000263	BU_ATCC8492_00084	BU_ATCC8492_00084	BU_ATCC8492_00084
OG0000264	BU_ATCC8492_00085	BU_ATCC8492_00085	BU_ATCC8492_00085
OG0000265	BU_ATCC8492_00087	BU_ATCC8492_00087	BU_ATCC8492_00087
OG0000266	BU_ATCC8492_00088	BU_ATCC8492_00088	BU_ATCC8492_00088
OG0000267	BU_ATCC8492_00091	BU_ATCC8492_00091	BU_ATCC8492_00091
OG0000268	BU_ATCC8492_00092	BU_ATCC8492_00092	BU_ATCC8492_00092
OG0000269	BU_ATCC8492_00093	BU_ATCC8492_00093	BU_ATCC8492_00093
OG0000270	BU_ATCC8492_00094	BU_ATCC8492_00094	BU_ATCC8492_00094
OG0000271	BU_ATCC8492_00095	BU_ATCC8492_00095	BU_ATCC8492_00095
OG0000272	BU_ATCC8492_00096	BU_ATCC8492_00096	BU_ATCC8492_00096
OG0000273	BU_ATCC8492_00097	BU_ATCC8492_00097	BU_ATCC8492_00097
