Orthogroup	BU_ATCC8492	BU_ATCC8492_copy
OG0000042_1	BU_ATCC8492_01802	BU_ATCC8492_copy_01802
OG0000043_1	BU_ATCC8492_01809	BU_ATCC8492_copy_01809
OG0000044_1	BU_ATCC8492_01260	BU_ATCC8492_copy_01260
OG0000045_1	BU_ATCC8492_01267	BU_ATCC8492_copy_01267
OG0000046_1	BU_ATCC8492_01305	BU_ATCC8492_copy_01305
OG0000047_1	BU_ATCC8492_01517	BU_ATCC8492_copy_01517
OG0000048_1	BU_ATCC8492_01914	BU_ATCC8492_copy_01914
OG0000049_1	BU_ATCC8492_02878	BU_ATCC8492_copy_02878
OG0000050_1	BU_ATCC8492_03424	BU_ATCC8492_copy_03424
OG0000051_1	BU_ATCC8492_01915	BU_ATCC8492_copy_01915
OG0000052_1	BU_ATCC8492_02881	BU_ATCC8492_copy_02881
OG0000053_1	BU_ATCC8492_03423	BU_ATCC8492_copy_03423
OG0000054_1	BU_ATCC8492_01917	BU_ATCC8492_copy_01917
OG0000055_1	BU_ATCC8492_02882	BU_ATCC8492_copy_02882
OG0000056_1	BU_ATCC8492_03422	BU_ATCC8492_copy_03422
OG0000057_1	BU_ATCC8492_02229	BU_ATCC8492_copy_02229
OG0000058_1	BU_ATCC8492_03177	BU_ATCC8492_copy_03177
OG0000059_1	BU_ATCC8492_03795	BU_ATCC8492_copy_03795
OG0000060_1	BU_ATCC8492_02548	BU_ATCC8492_copy_02548
OG0000061_1	BU_ATCC8492_02747	BU_ATCC8492_copy_02747
OG0000062_1	BU_ATCC8492_02886	BU_ATCC8492_copy_02886
OG0000063_1	BU_ATCC8492_02549	BU_ATCC8492_copy_02549
OG0000064_1	BU_ATCC8492_02748	BU_ATCC8492_copy_02748
OG0000065_1	BU_ATCC8492_02887	BU_ATCC8492_copy_02887
OG0000066_1	BU_ATCC8492_00038	BU_ATCC8492_copy_00038
OG0000067_1	BU_ATCC8492_00195	BU_ATCC8492_copy_00195
OG0000068_1	BU_ATCC8492_00056	BU_ATCC8492_copy_00056
OG0000069_1	BU_ATCC8492_02662	BU_ATCC8492_copy_02662
OG0000070_1	BU_ATCC8492_00086	BU_ATCC8492_copy_00086
OG0000071_1	BU_ATCC8492_03548	BU_ATCC8492_copy_03548
OG0000072_1	BU_ATCC8492_00089	BU_ATCC8492_copy_00089
OG0000073_1	BU_ATCC8492_03561	BU_ATCC8492_copy_03561
OG0000074_1	BU_ATCC8492_00090	BU_ATCC8492_copy_00090
OG0000075_1	BU_ATCC8492_03562	BU_ATCC8492_copy_03562
OG0000076_1	BU_ATCC8492_00180	BU_ATCC8492_copy_00180
OG0000077_1	BU_ATCC8492_02672	BU_ATCC8492_copy_02672
OG0000078_1	BU_ATCC8492_00186	BU_ATCC8492_copy_00186
OG0000079_1	BU_ATCC8492_02660	BU_ATCC8492_copy_02660
OG0000080_1	BU_ATCC8492_00288	BU_ATCC8492_copy_00288
OG0000081_1	BU_ATCC8492_01854	BU_ATCC8492_copy_01854
OG0000082_1	BU_ATCC8492_00312	BU_ATCC8492_copy_00312
OG0000083_1	BU_ATCC8492_02278	BU_ATCC8492_copy_02278
OG0000084_1	BU_ATCC8492_00315	BU_ATCC8492_copy_00315
OG0000085_1	BU_ATCC8492_01032	BU_ATCC8492_copy_01032
OG0000086_1	BU_ATCC8492_00317	BU_ATCC8492_copy_00317
OG0000087_1	BU_ATCC8492_01054	BU_ATCC8492_copy_01054
OG0000088_1	BU_ATCC8492_00322	BU_ATCC8492_copy_00322
OG0000089_1	BU_ATCC8492_01028	BU_ATCC8492_copy_01028
OG0000090_1	BU_ATCC8492_00328	BU_ATCC8492_copy_00328
OG0000091_1	BU_ATCC8492_01022	BU_ATCC8492_copy_01022
OG0000092_1	BU_ATCC8492_00347	BU_ATCC8492_copy_00347
OG0000093_1	BU_ATCC8492_03197	BU_ATCC8492_copy_03197
OG0000094_1	BU_ATCC8492_00369	BU_ATCC8492_copy_00369
OG0000095_1	BU_ATCC8492_03530	BU_ATCC8492_copy_03530
OG0000096_1	BU_ATCC8492_00407	BU_ATCC8492_copy_00407
OG0000097_1	BU_ATCC8492_00651	BU_ATCC8492_copy_00651
OG0000098_1	BU_ATCC8492_00416	BU_ATCC8492_copy_00416
OG0000099_1	BU_ATCC8492_01729	BU_ATCC8492_copy_01729
OG0000100_1	BU_ATCC8492_00435	BU_ATCC8492_copy_00435
OG0000101_1	BU_ATCC8492_00575	BU_ATCC8492_copy_00575
OG0000102_1	BU_ATCC8492_00438	BU_ATCC8492_copy_00438
OG0000103_1	BU_ATCC8492_00439	BU_ATCC8492_copy_00439
OG0000104_1	BU_ATCC8492_00538	BU_ATCC8492_copy_00538
OG0000105_1	BU_ATCC8492_01270	BU_ATCC8492_copy_01270
OG0000106_1	BU_ATCC8492_00555	BU_ATCC8492_copy_00555
OG0000107_1	BU_ATCC8492_01200	BU_ATCC8492_copy_01200
OG0000108_1	BU_ATCC8492_00559	BU_ATCC8492_copy_00559
OG0000109_1	BU_ATCC8492_01194	BU_ATCC8492_copy_01194
OG0000110_1	BU_ATCC8492_00793	BU_ATCC8492_copy_00793
OG0000111_1	BU_ATCC8492_01076	BU_ATCC8492_copy_01076
OG0000112_1	BU_ATCC8492_00798	BU_ATCC8492_copy_00798
OG0000113_1	BU_ATCC8492_01055	BU_ATCC8492_copy_01055
OG0000114_1	BU_ATCC8492_00879	BU_ATCC8492_copy_00879
OG0000115_1	BU_ATCC8492_00888	BU_ATCC8492_copy_00888
OG0000116_1	BU_ATCC8492_00883	BU_ATCC8492_copy_00883
OG0000117_1	BU_ATCC8492_01035	BU_ATCC8492_copy_01035
OG0000118_1	BU_ATCC8492_00916	BU_ATCC8492_copy_00916
OG0000119_1	BU_ATCC8492_00920	BU_ATCC8492_copy_00920
OG0000120_1	BU_ATCC8492_00979	BU_ATCC8492_copy_00979
OG0000121_1	BU_ATCC8492_00997	BU_ATCC8492_copy_00997
OG0000122_1	BU_ATCC8492_00981	BU_ATCC8492_copy_00981
OG0000123_1	BU_ATCC8492_01074	BU_ATCC8492_copy_01074
OG0000124_1	BU_ATCC8492_00982	BU_ATCC8492_copy_00982
OG0000125_1	BU_ATCC8492_00990	BU_ATCC8492_copy_00990
OG0000126_1	BU_ATCC8492_00983	BU_ATCC8492_copy_00983
OG0000127_1	BU_ATCC8492_00989	BU_ATCC8492_copy_00989
OG0000128_1	BU_ATCC8492_01007	BU_ATCC8492_copy_01007
OG0000129_1	BU_ATCC8492_01024	BU_ATCC8492_copy_01024
OG0000130_1	BU_ATCC8492_01098	BU_ATCC8492_copy_01098
OG0000131_1	BU_ATCC8492_01245	BU_ATCC8492_copy_01245
OG0000132_1	BU_ATCC8492_01198	BU_ATCC8492_copy_01198
OG0000133_1	BU_ATCC8492_01199	BU_ATCC8492_copy_01199
OG0000134_1	BU_ATCC8492_01275	BU_ATCC8492_copy_01275
OG0000135_1	BU_ATCC8492_02818	BU_ATCC8492_copy_02818
OG0000136_1	BU_ATCC8492_01276	BU_ATCC8492_copy_01276
OG0000137_1	BU_ATCC8492_02817	BU_ATCC8492_copy_02817
OG0000138_1	BU_ATCC8492_01282	BU_ATCC8492_copy_01282
OG0000139_1	BU_ATCC8492_03295	BU_ATCC8492_copy_03295
OG0000140_1	BU_ATCC8492_01444	BU_ATCC8492_copy_01444
OG0000141_1	BU_ATCC8492_03822	BU_ATCC8492_copy_03822
OG0000142_1	BU_ATCC8492_01467	BU_ATCC8492_copy_01467
OG0000143_1	BU_ATCC8492_02051	BU_ATCC8492_copy_02051
OG0000144_1	BU_ATCC8492_01502	BU_ATCC8492_copy_01502
OG0000145_1	BU_ATCC8492_03918	BU_ATCC8492_copy_03918
OG0000146_1	BU_ATCC8492_01923	BU_ATCC8492_copy_01923
OG0000147_1	BU_ATCC8492_02538	BU_ATCC8492_copy_02538
OG0000148_1	BU_ATCC8492_01930	BU_ATCC8492_copy_01930
OG0000149_1	BU_ATCC8492_02645	BU_ATCC8492_copy_02645
OG0000150_1	BU_ATCC8492_01973	BU_ATCC8492_copy_01973
OG0000151_1	BU_ATCC8492_01975	BU_ATCC8492_copy_01975
OG0000152_1	BU_ATCC8492_02224	BU_ATCC8492_copy_02224
OG0000153_1	BU_ATCC8492_03498	BU_ATCC8492_copy_03498
OG0000154_1	BU_ATCC8492_02351	BU_ATCC8492_copy_02351
OG0000155_1	BU_ATCC8492_02358	BU_ATCC8492_copy_02358
OG0000156_1	BU_ATCC8492_02407	BU_ATCC8492_copy_02407
OG0000157_1	BU_ATCC8492_02455	BU_ATCC8492_copy_02455
OG0000158_1	BU_ATCC8492_02409	BU_ATCC8492_copy_02409
OG0000159_1	BU_ATCC8492_02454	BU_ATCC8492_copy_02454
OG0000160_1	BU_ATCC8492_02452	BU_ATCC8492_copy_02452
OG0000161_1	BU_ATCC8492_03176	BU_ATCC8492_copy_03176
OG0000162_1	BU_ATCC8492_02750	BU_ATCC8492_copy_02750
OG0000163_1	BU_ATCC8492_03222	BU_ATCC8492_copy_03222
OG0000164_1	BU_ATCC8492_02876	BU_ATCC8492_copy_02876
OG0000165_1	BU_ATCC8492_03426	BU_ATCC8492_copy_03426
OG0000166_1	BU_ATCC8492_02877	BU_ATCC8492_copy_02877
OG0000167_1	BU_ATCC8492_03425	BU_ATCC8492_copy_03425
OG0000168_1	BU_ATCC8492_03067	BU_ATCC8492_copy_03067
OG0000169_1	BU_ATCC8492_03349	BU_ATCC8492_copy_03349
OG0000170_1	BU_ATCC8492_03068	BU_ATCC8492_copy_03068
OG0000171_1	BU_ATCC8492_03348	BU_ATCC8492_copy_03348
OG0000172_1	BU_ATCC8492_03083	BU_ATCC8492_copy_03083
OG0000173_1	BU_ATCC8492_03431	BU_ATCC8492_copy_03431
OG0000174_1	BU_ATCC8492_03209	BU_ATCC8492_copy_03209
OG0000175_1	BU_ATCC8492_03418	BU_ATCC8492_copy_03418
OG0000176_1	BU_ATCC8492_03240	BU_ATCC8492_copy_03240
OG0000177_1	BU_ATCC8492_03743	BU_ATCC8492_copy_03743
OG0000178_1	BU_ATCC8492_03556	BU_ATCC8492_copy_03556
OG0000179_1	BU_ATCC8492_03565	BU_ATCC8492_copy_03565
OG0000180_1	BU_ATCC8492_03721	BU_ATCC8492_copy_03721
OG0000181_1	BU_ATCC8492_03722	BU_ATCC8492_copy_03722
OG0000182_1	BU_ATCC8492_03776	BU_ATCC8492_copy_03776
OG0000183_1	BU_ATCC8492_03794	BU_ATCC8492_copy_03794
OG0000184_1	BU_ATCC8492_00001	BU_ATCC8492_copy_00001
OG0000185_1	BU_ATCC8492_00002	BU_ATCC8492_copy_00002
OG0000186_1	BU_ATCC8492_00003	BU_ATCC8492_copy_00003
OG0000187_1	BU_ATCC8492_00004	BU_ATCC8492_copy_00004
OG0000188_1	BU_ATCC8492_00005	BU_ATCC8492_copy_00005
OG0000189_1	BU_ATCC8492_00006	BU_ATCC8492_copy_00006
OG0000190_1	BU_ATCC8492_00007	BU_ATCC8492_copy_00007
OG0000191_1	BU_ATCC8492_00008	BU_ATCC8492_copy_00008
OG0000192_1	BU_ATCC8492_00009	BU_ATCC8492_copy_00009
OG0000193_1	BU_ATCC8492_00010	BU_ATCC8492_copy_00010
OG0000194_1	BU_ATCC8492_00011	BU_ATCC8492_copy_00011
OG0000195_1	BU_ATCC8492_00012	BU_ATCC8492_copy_00012
OG0000196_1	BU_ATCC8492_00013	BU_ATCC8492_copy_00013
OG0000197_1	BU_ATCC8492_00014	BU_ATCC8492_copy_00014
OG0000198_1	BU_ATCC8492_00015	BU_ATCC8492_copy_00015
OG0000199_1	BU_ATCC8492_00016	BU_ATCC8492_copy_00016
OG0000200_1	BU_ATCC8492_00017	BU_ATCC8492_copy_00017
OG0000201_1	BU_ATCC8492_00018	BU_ATCC8492_copy_00018
OG0000202_1	BU_ATCC8492_00019	BU_ATCC8492_copy_00019
OG0000203_1	BU_ATCC8492_00020	BU_ATCC8492_copy_00020
OG0000204_1	BU_ATCC8492_00021	BU_ATCC8492_copy_00021
OG0000205_1	BU_ATCC8492_00022	BU_ATCC8492_copy_00022
OG0000206_1	BU_ATCC8492_00023	BU_ATCC8492_copy_00023
OG0000207_1	BU_ATCC8492_00024	BU_ATCC8492_copy_00024
OG0000208_1	BU_ATCC8492_00025	BU_ATCC8492_copy_00025
OG0000209_1	BU_ATCC8492_00027	BU_ATCC8492_copy_00027
OG0000210_1	BU_ATCC8492_00028	BU_ATCC8492_copy_00028
OG0000211_1	BU_ATCC8492_00029	BU_ATCC8492_copy_00029
OG0000212_1	BU_ATCC8492_00030	BU_ATCC8492_copy_00030
OG0000213_1	BU_ATCC8492_00031	BU_ATCC8492_copy_00031
OG0000214_1	BU_ATCC8492_00032	BU_ATCC8492_copy_00032
OG0000215_1	BU_ATCC8492_00033	BU_ATCC8492_copy_00033
OG0000216_1	BU_ATCC8492_00034	BU_ATCC8492_copy_00034
OG0000217_1	BU_ATCC8492_00035	BU_ATCC8492_copy_00035
OG0000218_1	BU_ATCC8492_00036	BU_ATCC8492_copy_00036
OG0000219_1	BU_ATCC8492_00039	BU_ATCC8492_copy_00039
OG0000220_1	BU_ATCC8492_00040	BU_ATCC8492_copy_00040
OG0000221_1	BU_ATCC8492_00041	BU_ATCC8492_copy_00041
OG0000222_1	BU_ATCC8492_00042	BU_ATCC8492_copy_00042
OG0000223_1	BU_ATCC8492_00043	BU_ATCC8492_copy_00043
OG0000224_1	BU_ATCC8492_00044	BU_ATCC8492_copy_00044
OG0000225_1	BU_ATCC8492_00045	BU_ATCC8492_copy_00045
OG0000226_1	BU_ATCC8492_00046	BU_ATCC8492_copy_00046
OG0000227_1	BU_ATCC8492_00047	BU_ATCC8492_copy_00047
OG0000228_1	BU_ATCC8492_00048	BU_ATCC8492_copy_00048
OG0000229_1	BU_ATCC8492_00049	BU_ATCC8492_copy_00049
OG0000230_1	BU_ATCC8492_00050	BU_ATCC8492_copy_00050
OG0000231_1	BU_ATCC8492_00051	BU_ATCC8492_copy_00051
OG0000232_1	BU_ATCC8492_00052	BU_ATCC8492_copy_00052
OG0000233_1	BU_ATCC8492_00053	BU_ATCC8492_copy_00053
OG0000234_1	BU_ATCC8492_00054	BU_ATCC8492_copy_00054
OG0000235_1	BU_ATCC8492_00055	BU_ATCC8492_copy_00055
OG0000236_1	BU_ATCC8492_00057	BU_ATCC8492_copy_00057
OG0000237_1	BU_ATCC8492_00058	BU_ATCC8492_copy_00058
OG0000238_1	BU_ATCC8492_00059	BU_ATCC8492_copy_00059
OG0000239_1	BU_ATCC8492_00060	BU_ATCC8492_copy_00060
OG0000240_1	BU_ATCC8492_00061	BU_ATCC8492_copy_00061
OG0000241_1	BU_ATCC8492_00062	BU_ATCC8492_copy_00062
OG0000242_1	BU_ATCC8492_00063	BU_ATCC8492_copy_00063
OG0000243_1	BU_ATCC8492_00064	BU_ATCC8492_copy_00064
OG0000244_1	BU_ATCC8492_00065	BU_ATCC8492_copy_00065
OG0000245_1	BU_ATCC8492_00066	BU_ATCC8492_copy_00066
OG0000246_1	BU_ATCC8492_00067	BU_ATCC8492_copy_00067
OG0000247_1	BU_ATCC8492_00068	BU_ATCC8492_copy_00068
OG0000248_1	BU_ATCC8492_00069	BU_ATCC8492_copy_00069
OG0000249_1	BU_ATCC8492_00070	BU_ATCC8492_copy_00070
OG0000250_1	BU_ATCC8492_00071	BU_ATCC8492_copy_00071
OG0000251_1	BU_ATCC8492_00072	BU_ATCC8492_copy_00072
OG0000252_1	BU_ATCC8492_00073	BU_ATCC8492_copy_00073
OG0000253_1	BU_ATCC8492_00074	BU_ATCC8492_copy_00074
OG0000254_1	BU_ATCC8492_00075	BU_ATCC8492_copy_00075
OG0000255_1	BU_ATCC8492_00076	BU_ATCC8492_copy_00076
OG0000256_1	BU_ATCC8492_00077	BU_ATCC8492_copy_00077
OG0000257_1	BU_ATCC8492_00078	BU_ATCC8492_copy_00078
OG0000258_1	BU_ATCC8492_00079	BU_ATCC8492_copy_00079
OG0000259_1	BU_ATCC8492_00080	BU_ATCC8492_copy_00080
OG0000260_1	BU_ATCC8492_00081	BU_ATCC8492_copy_00081
OG0000261_1	BU_ATCC8492_00082	BU_ATCC8492_copy_00082
OG0000262_1	BU_ATCC8492_00083	BU_ATCC8492_copy_00083
OG0000263_1	BU_ATCC8492_00084	BU_ATCC8492_copy_00084
OG0000264_1	BU_ATCC8492_00085	BU_ATCC8492_copy_00085
OG0000265_1	BU_ATCC8492_00087	BU_ATCC8492_copy_00087
OG0000266_1	BU_ATCC8492_00088	BU_ATCC8492_copy_00088
OG0000267_1	BU_ATCC8492_00091	BU_ATCC8492_copy_00091
OG0000268_1	BU_ATCC8492_00092	BU_ATCC8492_copy_00092
OG0000269_1	BU_ATCC8492_00093	BU_ATCC8492_copy_00093
OG0000270_1	BU_ATCC8492_00094	BU_ATCC8492_copy_00094
OG0000271_1	BU_ATCC8492_00095	BU_ATCC8492_copy_00095
OG0000272_1	BU_ATCC8492_00096	BU_ATCC8492_copy_00096
OG0000273_1	BU_ATCC8492_00097	BU_ATCC8492_copy_00097
OG0000274_1	BU_ATCC8492_00098	BU_ATCC8492_copy_00098
OG0000275_1	BU_ATCC8492_00099	BU_ATCC8492_copy_00099
OG0000276_1	BU_ATCC8492_00100	BU_ATCC8492_copy_00100
OG0000277_1	BU_ATCC8492_00101	BU_ATCC8492_copy_00101
OG0000278_1	BU_ATCC8492_00102	BU_ATCC8492_copy_00102
OG0000279_1	BU_ATCC8492_00103	BU_ATCC8492_copy_00103
OG0000280_1	BU_ATCC8492_00104	BU_ATCC8492_copy_00104
OG0000281_1	BU_ATCC8492_00105	BU_ATCC8492_copy_00105
OG0000282_1	BU_ATCC8492_00106	BU_ATCC8492_copy_00106
OG0000283_1	BU_ATCC8492_00107	BU_ATCC8492_copy_00107
OG0000284_1	BU_ATCC8492_00108	BU_ATCC8492_copy_00108
OG0000285_1	BU_ATCC8492_00109	BU_ATCC8492_copy_00109
OG0000286_1	BU_ATCC8492_00110	BU_ATCC8492_copy_00110
OG0000287_1	BU_ATCC8492_00111	BU_ATCC8492_copy_00111
OG0000288_1	BU_ATCC8492_00112	BU_ATCC8492_copy_00112
OG0000289_1	BU_ATCC8492_00113	BU_ATCC8492_copy_00113
OG0000290_1	BU_ATCC8492_00114	BU_ATCC8492_copy_00114
OG0000291_1	BU_ATCC8492_00115	BU_ATCC8492_copy_00115
OG0000292_1	BU_ATCC8492_00116	BU_ATCC8492_copy_00116
OG0000293_1	BU_ATCC8492_00117	BU_ATCC8492_copy_00117
OG0000294_1	BU_ATCC8492_00118	BU_ATCC8492_copy_00118
OG0000295_1	BU_ATCC8492_00119	BU_ATCC8492_copy_00119
OG0000296_1	BU_ATCC8492_00120	BU_ATCC8492_copy_00120
OG0000297_1	BU_ATCC8492_00121	BU_ATCC8492_copy_00121
OG0000298_1	BU_ATCC8492_00122	BU_ATCC8492_copy_00122
OG0000299_1	BU_ATCC8492_00123	BU_ATCC8492_copy_00123
OG0000300_1	BU_ATCC8492_00124	BU_ATCC8492_copy_00124
OG0000301_1	BU_ATCC8492_00125	BU_ATCC8492_copy_00125
OG0000302_1	BU_ATCC8492_00126	BU_ATCC8492_copy_00126
OG0000303_1	BU_ATCC8492_00127	BU_ATCC8492_copy_00127
OG0000304_1	BU_ATCC8492_00128	BU_ATCC8492_copy_00128
OG0000305_1	BU_ATCC8492_00129	BU_ATCC8492_copy_00129
OG0000306_1	BU_ATCC8492_00130	BU_ATCC8492_copy_00130
OG0000307_1	BU_ATCC8492_00131	BU_ATCC8492_copy_00131
OG0000308_1	BU_ATCC8492_00132	BU_ATCC8492_copy_00132
OG0000309_1	BU_ATCC8492_00133	BU_ATCC8492_copy_00133
OG0000310_1	BU_ATCC8492_00134	BU_ATCC8492_copy_00134
OG0000311_1	BU_ATCC8492_00135	BU_ATCC8492_copy_00135
OG0000312_1	BU_ATCC8492_00136	BU_ATCC8492_copy_00136
OG0000313_1	BU_ATCC8492_00137	BU_ATCC8492_copy_00137
OG0000314_1	BU_ATCC8492_00138	BU_ATCC8492_copy_00138
OG0000315_1	BU_ATCC8492_00139	BU_ATCC8492_copy_00139
OG0000316_1	BU_ATCC8492_00140	BU_ATCC8492_copy_00140
OG0000317_1	BU_ATCC8492_00141	BU_ATCC8492_copy_00141
OG0000318_1	BU_ATCC8492_00142	BU_ATCC8492_copy_00142
OG0000319_1	BU_ATCC8492_00143	BU_ATCC8492_copy_00143
OG0000320_1	BU_ATCC8492_00144	BU_ATCC8492_copy_00144
OG0000321_1	BU_ATCC8492_00145	BU_ATCC8492_copy_00145
OG0000322_1	BU_ATCC8492_00146	BU_ATCC8492_copy_00146
OG0000323_1	BU_ATCC8492_00147	BU_ATCC8492_copy_00147
OG0000324_1	BU_ATCC8492_00148	BU_ATCC8492_copy_00148
OG0000325_1	BU_ATCC8492_00149	BU_ATCC8492_copy_00149
OG0000326_1	BU_ATCC8492_00150	BU_ATCC8492_copy_00150
OG0000327_1	BU_ATCC8492_00151	BU_ATCC8492_copy_00151
OG0000328_1	BU_ATCC8492_00152	BU_ATCC8492_copy_00152
OG0000329_1	BU_ATCC8492_00153	BU_ATCC8492_copy_00153
OG0000330_1	BU_ATCC8492_00154	BU_ATCC8492_copy_00154
OG0000331_1	BU_ATCC8492_00155	BU_ATCC8492_copy_00155
OG0000332_1	BU_ATCC8492_00156	BU_ATCC8492_copy_00156
OG0000333_1	BU_ATCC8492_00157	BU_ATCC8492_copy_00157
OG0000334_1	BU_ATCC8492_00158	BU_ATCC8492_copy_00158
OG0000335_1	BU_ATCC8492_00159	BU_ATCC8492_copy_00159
