Orthogroup	PV_ATCC8482	PV_ATCC8482_copy
OG0000004_5	PV_ATCC8482_00797	PV_ATCC8482_copy_00797
OG0000005_1	PV_ATCC8482_01944	PV_ATCC8482_copy_01944
OG0000005_2	PV_ATCC8482_01481	PV_ATCC8482_copy_01481
OG0000005_3	PV_ATCC8482_02986	PV_ATCC8482_copy_02986
OG0000005_4	PV_ATCC8482_02700	PV_ATCC8482_copy_02700
OG0000006_1	PV_ATCC8482_01224	PV_ATCC8482_copy_01224
OG0000006_2	PV_ATCC8482_00937	PV_ATCC8482_copy_00937
OG0000006_3	PV_ATCC8482_00388	PV_ATCC8482_copy_00388
OG0000006_4	PV_ATCC8482_01788	PV_ATCC8482_copy_01788
OG0000007_1	PV_ATCC8482_03649	PV_ATCC8482_copy_03649
OG0000007_2	PV_ATCC8482_03867	PV_ATCC8482_copy_03867
OG0000007_3	PV_ATCC8482_03655	PV_ATCC8482_copy_03655
OG0000008_1	PV_ATCC8482_01514	PV_ATCC8482_copy_01514
OG0000008_2	PV_ATCC8482_01411	PV_ATCC8482_copy_01411
OG0000008_3	PV_ATCC8482_01486	PV_ATCC8482_copy_01486
OG0000009_1	PV_ATCC8482_01272	PV_ATCC8482_copy_01272
OG0000009_2	PV_ATCC8482_00508	PV_ATCC8482_copy_00508
OG0000009_3	PV_ATCC8482_01374	PV_ATCC8482_copy_01374
OG0000010_1	PV_ATCC8482_01273	PV_ATCC8482_copy_01273
OG0000010_2	PV_ATCC8482_01373	PV_ATCC8482_copy_01373
OG0000010_3	PV_ATCC8482_00509	PV_ATCC8482_copy_00509
OG0000011_1	PV_ATCC8482_01274	PV_ATCC8482_copy_01274
OG0000011_2	PV_ATCC8482_01372	PV_ATCC8482_copy_01372
OG0000011_3	PV_ATCC8482_00510	PV_ATCC8482_copy_00510
OG0000012_1	PV_ATCC8482_01619	PV_ATCC8482_copy_01619
OG0000012_2	PV_ATCC8482_00709	PV_ATCC8482_copy_00709
OG0000013_1	PV_ATCC8482_01611	PV_ATCC8482_copy_01611
OG0000013_2	PV_ATCC8482_00717	PV_ATCC8482_copy_00717
OG0000014_1	PV_ATCC8482_00452	PV_ATCC8482_copy_00452
OG0000014_2	PV_ATCC8482_02357	PV_ATCC8482_copy_02357
OG0000015_1	PV_ATCC8482_02364	PV_ATCC8482_copy_02364
OG0000015_2	PV_ATCC8482_00461	PV_ATCC8482_copy_00461
OG0000016_1	PV_ATCC8482_02365	PV_ATCC8482_copy_02365
OG0000016_2	PV_ATCC8482_00462	PV_ATCC8482_copy_00462
OG0000017_1	PV_ATCC8482_02366	PV_ATCC8482_copy_02366
OG0000017_2	PV_ATCC8482_00463	PV_ATCC8482_copy_00463
OG0000018_1	PV_ATCC8482_00464	PV_ATCC8482_copy_00464
OG0000018_2	PV_ATCC8482_02367	PV_ATCC8482_copy_02367
OG0000019_1	PV_ATCC8482_00707	PV_ATCC8482_copy_00707
OG0000019_2	PV_ATCC8482_01621	PV_ATCC8482_copy_01621
OG0000020_1	PV_ATCC8482_00708	PV_ATCC8482_copy_00708
OG0000020_2	PV_ATCC8482_01620	PV_ATCC8482_copy_01620
OG0000021_1	PV_ATCC8482_01618	PV_ATCC8482_copy_01618
OG0000021_2	PV_ATCC8482_00710	PV_ATCC8482_copy_00710
OG0000022_1	PV_ATCC8482_01617	PV_ATCC8482_copy_01617
OG0000022_2	PV_ATCC8482_00711	PV_ATCC8482_copy_00711
OG0000023_1	PV_ATCC8482_00712	PV_ATCC8482_copy_00712
OG0000023_2	PV_ATCC8482_01616	PV_ATCC8482_copy_01616
OG0000024_1	PV_ATCC8482_00713	PV_ATCC8482_copy_00713
OG0000024_2	PV_ATCC8482_01615	PV_ATCC8482_copy_01615
OG0000025_1	PV_ATCC8482_00714	PV_ATCC8482_copy_00714
OG0000025_2	PV_ATCC8482_01614	PV_ATCC8482_copy_01614
OG0000026_1	PV_ATCC8482_00715	PV_ATCC8482_copy_00715
OG0000026_2	PV_ATCC8482_01613	PV_ATCC8482_copy_01613
OG0000027_1	PV_ATCC8482_00716	PV_ATCC8482_copy_00716
OG0000027_2	PV_ATCC8482_01612	PV_ATCC8482_copy_01612
OG0000028_1	PV_ATCC8482_01610	PV_ATCC8482_copy_01610
OG0000028_2	PV_ATCC8482_00718	PV_ATCC8482_copy_00718
OG0000029_1	PV_ATCC8482_01609	PV_ATCC8482_copy_01609
OG0000029_2	PV_ATCC8482_00719	PV_ATCC8482_copy_00719
OG0000030_1	PV_ATCC8482_00720	PV_ATCC8482_copy_00720
OG0000030_2	PV_ATCC8482_01608	PV_ATCC8482_copy_01608
OG0000031_1	PV_ATCC8482_00721	PV_ATCC8482_copy_00721
OG0000031_2	PV_ATCC8482_01607	PV_ATCC8482_copy_01607
OG0000032_1	PV_ATCC8482_00722	PV_ATCC8482_copy_00722
OG0000032_2	PV_ATCC8482_01606	PV_ATCC8482_copy_01606
OG0000033_1	PV_ATCC8482_00723	PV_ATCC8482_copy_00723
OG0000033_2	PV_ATCC8482_01605	PV_ATCC8482_copy_01605
OG0000034_1	PV_ATCC8482_00724	PV_ATCC8482_copy_00724
OG0000034_2	PV_ATCC8482_01604	PV_ATCC8482_copy_01604
OG0000035_1	PV_ATCC8482_01603	PV_ATCC8482_copy_01603
OG0000035_2	PV_ATCC8482_00725	PV_ATCC8482_copy_00725
OG0000036_1	PV_ATCC8482_01602	PV_ATCC8482_copy_01602
OG0000036_2	PV_ATCC8482_00726	PV_ATCC8482_copy_00726
OG0000037_1	PV_ATCC8482_01601	PV_ATCC8482_copy_01601
OG0000037_2	PV_ATCC8482_00727	PV_ATCC8482_copy_00727
OG0000038_1	PV_ATCC8482_00728	PV_ATCC8482_copy_00728
OG0000038_2	PV_ATCC8482_01600	PV_ATCC8482_copy_01600
OG0000039_1	PV_ATCC8482_00729	PV_ATCC8482_copy_00729
OG0000039_2	PV_ATCC8482_01599	PV_ATCC8482_copy_01599
OG0000040_1	PV_ATCC8482_00730	PV_ATCC8482_copy_00730
OG0000040_2	PV_ATCC8482_01598	PV_ATCC8482_copy_01598
OG0000041_1	PV_ATCC8482_01593	PV_ATCC8482_copy_01593
OG0000041_2	PV_ATCC8482_00735	PV_ATCC8482_copy_00735
OG0000042_1	PV_ATCC8482_03808	PV_ATCC8482_copy_03808
OG0000042_2	PV_ATCC8482_00996	PV_ATCC8482_copy_00996
OG0000043_1	PV_ATCC8482_03809	PV_ATCC8482_copy_03809
OG0000043_2	PV_ATCC8482_00997	PV_ATCC8482_copy_00997
OG0000044_1	PV_ATCC8482_01011	PV_ATCC8482_copy_01011
OG0000044_2	PV_ATCC8482_01019	PV_ATCC8482_copy_01019
OG0000045_1	PV_ATCC8482_01012	PV_ATCC8482_copy_01012
OG0000045_2	PV_ATCC8482_01020	PV_ATCC8482_copy_01020
OG0000046_1	PV_ATCC8482_01021	PV_ATCC8482_copy_01021
OG0000046_2	PV_ATCC8482_01013	PV_ATCC8482_copy_01013
OG0000047_1	PV_ATCC8482_01014	PV_ATCC8482_copy_01014
OG0000047_2	PV_ATCC8482_01022	PV_ATCC8482_copy_01022
OG0000048_1	PV_ATCC8482_01016	PV_ATCC8482_copy_01016
OG0000048_2	PV_ATCC8482_01024	PV_ATCC8482_copy_01024
OG0000049_1	PV_ATCC8482_01017	PV_ATCC8482_copy_01017
OG0000049_2	PV_ATCC8482_01025	PV_ATCC8482_copy_01025
OG0000050_1	PV_ATCC8482_02969	PV_ATCC8482_copy_02969
OG0000050_2	PV_ATCC8482_01754	PV_ATCC8482_copy_01754
OG0000051_1	PV_ATCC8482_02968	PV_ATCC8482_copy_02968
OG0000051_2	PV_ATCC8482_01755	PV_ATCC8482_copy_01755
OG0000052_1	PV_ATCC8482_02141	PV_ATCC8482_copy_02141
OG0000053_1	PV_ATCC8482_01916	PV_ATCC8482_copy_01916
OG0000054_1	PV_ATCC8482_03894	PV_ATCC8482_copy_03894
OG0000055_1	PV_ATCC8482_00843	PV_ATCC8482_copy_00843
OG0000056_1	PV_ATCC8482_03233	PV_ATCC8482_copy_03233
OG0000057_1	PV_ATCC8482_01555	PV_ATCC8482_copy_01555
OG0000058_1	PV_ATCC8482_01332	PV_ATCC8482_copy_01332
OG0000059_1	PV_ATCC8482_03008	PV_ATCC8482_copy_03008
OG0000060_1	PV_ATCC8482_00887	PV_ATCC8482_copy_00887
OG0000061_1	PV_ATCC8482_00038	PV_ATCC8482_copy_00038
OG0000062_1	PV_ATCC8482_00460	PV_ATCC8482_copy_00460
OG0000063_1	PV_ATCC8482_02363	PV_ATCC8482_copy_02363
OG0000064_1	PV_ATCC8482_03214	PV_ATCC8482_copy_03214
OG0000065_1	PV_ATCC8482_00588	PV_ATCC8482_copy_00588
OG0000066_1	PV_ATCC8482_00594	PV_ATCC8482_copy_00594
OG0000067_1	PV_ATCC8482_00596	PV_ATCC8482_copy_00596
OG0000068_1	PV_ATCC8482_02179	PV_ATCC8482_copy_02179
OG0000069_1	PV_ATCC8482_03032	PV_ATCC8482_copy_03032
OG0000070_1	PV_ATCC8482_00109	PV_ATCC8482_copy_00109
OG0000071_1	PV_ATCC8482_02348	PV_ATCC8482_copy_02348
OG0000072_1	PV_ATCC8482_00110	PV_ATCC8482_copy_00110
OG0000073_1	PV_ATCC8482_02106	PV_ATCC8482_copy_02106
OG0000074_1	PV_ATCC8482_00163	PV_ATCC8482_copy_00163
OG0000075_1	PV_ATCC8482_02233	PV_ATCC8482_copy_02233
OG0000076_1	PV_ATCC8482_00252	PV_ATCC8482_copy_00252
OG0000077_1	PV_ATCC8482_01738	PV_ATCC8482_copy_01738
OG0000078_1	PV_ATCC8482_00323	PV_ATCC8482_copy_00323
OG0000079_1	PV_ATCC8482_02098	PV_ATCC8482_copy_02098
OG0000080_1	PV_ATCC8482_00430	PV_ATCC8482_copy_00430
OG0000081_1	PV_ATCC8482_04100	PV_ATCC8482_copy_04100
OG0000082_1	PV_ATCC8482_00453	PV_ATCC8482_copy_00453
OG0000083_1	PV_ATCC8482_03209	PV_ATCC8482_copy_03209
OG0000084_1	PV_ATCC8482_00673	PV_ATCC8482_copy_00673
OG0000085_1	PV_ATCC8482_01662	PV_ATCC8482_copy_01662
OG0000086_1	PV_ATCC8482_00676	PV_ATCC8482_copy_00676
OG0000087_1	PV_ATCC8482_01655	PV_ATCC8482_copy_01655
OG0000088_1	PV_ATCC8482_00683	PV_ATCC8482_copy_00683
OG0000089_1	PV_ATCC8482_01642	PV_ATCC8482_copy_01642
OG0000090_1	PV_ATCC8482_00685	PV_ATCC8482_copy_00685
OG0000091_1	PV_ATCC8482_01640	PV_ATCC8482_copy_01640
OG0000092_1	PV_ATCC8482_00687	PV_ATCC8482_copy_00687
OG0000093_1	PV_ATCC8482_01638	PV_ATCC8482_copy_01638
OG0000094_1	PV_ATCC8482_00692	PV_ATCC8482_copy_00692
OG0000095_1	PV_ATCC8482_01634	PV_ATCC8482_copy_01634
OG0000096_1	PV_ATCC8482_00693	PV_ATCC8482_copy_00693
OG0000097_1	PV_ATCC8482_01633	PV_ATCC8482_copy_01633
OG0000098_1	PV_ATCC8482_00695	PV_ATCC8482_copy_00695
OG0000099_1	PV_ATCC8482_01630	PV_ATCC8482_copy_01630
OG0000100_1	PV_ATCC8482_00698	PV_ATCC8482_copy_00698
OG0000101_1	PV_ATCC8482_01627	PV_ATCC8482_copy_01627
OG0000102_1	PV_ATCC8482_00706	PV_ATCC8482_copy_00706
OG0000103_1	PV_ATCC8482_01622	PV_ATCC8482_copy_01622
OG0000104_1	PV_ATCC8482_00732	PV_ATCC8482_copy_00732
OG0000105_1	PV_ATCC8482_01596	PV_ATCC8482_copy_01596
OG0000106_1	PV_ATCC8482_00733	PV_ATCC8482_copy_00733
OG0000107_1	PV_ATCC8482_01595	PV_ATCC8482_copy_01595
OG0000108_1	PV_ATCC8482_00734	PV_ATCC8482_copy_00734
OG0000109_1	PV_ATCC8482_01594	PV_ATCC8482_copy_01594
OG0000110_1	PV_ATCC8482_00736	PV_ATCC8482_copy_00736
OG0000111_1	PV_ATCC8482_01591	PV_ATCC8482_copy_01591
OG0000112_1	PV_ATCC8482_00737	PV_ATCC8482_copy_00737
OG0000113_1	PV_ATCC8482_01589	PV_ATCC8482_copy_01589
OG0000114_1	PV_ATCC8482_00739	PV_ATCC8482_copy_00739
OG0000115_1	PV_ATCC8482_01587	PV_ATCC8482_copy_01587
OG0000116_1	PV_ATCC8482_00751	PV_ATCC8482_copy_00751
OG0000117_1	PV_ATCC8482_01568	PV_ATCC8482_copy_01568
OG0000118_1	PV_ATCC8482_00763	PV_ATCC8482_copy_00763
OG0000119_1	PV_ATCC8482_02769	PV_ATCC8482_copy_02769
OG0000120_1	PV_ATCC8482_00791	PV_ATCC8482_copy_00791
OG0000121_1	PV_ATCC8482_04217	PV_ATCC8482_copy_04217
OG0000122_1	PV_ATCC8482_00995	PV_ATCC8482_copy_00995
OG0000123_1	PV_ATCC8482_03807	PV_ATCC8482_copy_03807
OG0000124_1	PV_ATCC8482_00998	PV_ATCC8482_copy_00998
OG0000125_1	PV_ATCC8482_03810	PV_ATCC8482_copy_03810
OG0000126_1	PV_ATCC8482_00999	PV_ATCC8482_copy_00999
OG0000127_1	PV_ATCC8482_03811	PV_ATCC8482_copy_03811
OG0000128_1	PV_ATCC8482_01001	PV_ATCC8482_copy_01001
OG0000129_1	PV_ATCC8482_03813	PV_ATCC8482_copy_03813
OG0000130_1	PV_ATCC8482_01007	PV_ATCC8482_copy_01007
OG0000131_1	PV_ATCC8482_03595	PV_ATCC8482_copy_03595
OG0000132_1	PV_ATCC8482_01036	PV_ATCC8482_copy_01036
OG0000133_1	PV_ATCC8482_03070	PV_ATCC8482_copy_03070
OG0000134_1	PV_ATCC8482_01195	PV_ATCC8482_copy_01195
OG0000135_1	PV_ATCC8482_02232	PV_ATCC8482_copy_02232
OG0000136_1	PV_ATCC8482_01328	PV_ATCC8482_copy_01328
OG0000137_1	PV_ATCC8482_02717	PV_ATCC8482_copy_02717
OG0000138_1	PV_ATCC8482_01521	PV_ATCC8482_copy_01521
OG0000139_1	PV_ATCC8482_03193	PV_ATCC8482_copy_03193
OG0000140_1	PV_ATCC8482_01522	PV_ATCC8482_copy_01522
OG0000141_1	PV_ATCC8482_03192	PV_ATCC8482_copy_03192
OG0000142_1	PV_ATCC8482_01523	PV_ATCC8482_copy_01523
OG0000143_1	PV_ATCC8482_03191	PV_ATCC8482_copy_03191
OG0000144_1	PV_ATCC8482_01659	PV_ATCC8482_copy_01659
OG0000145_1	PV_ATCC8482_01661	PV_ATCC8482_copy_01661
OG0000146_1	PV_ATCC8482_01851	PV_ATCC8482_copy_01851
OG0000147_1	PV_ATCC8482_02227	PV_ATCC8482_copy_02227
OG0000148_1	PV_ATCC8482_01962	PV_ATCC8482_copy_01962
OG0000149_1	PV_ATCC8482_03615	PV_ATCC8482_copy_03615
OG0000150_1	PV_ATCC8482_02196	PV_ATCC8482_copy_02196
OG0000151_1	PV_ATCC8482_03465	PV_ATCC8482_copy_03465
OG0000152_1	PV_ATCC8482_02216	PV_ATCC8482_copy_02216
OG0000153_1	PV_ATCC8482_02225	PV_ATCC8482_copy_02225
OG0000154_1	PV_ATCC8482_02473	PV_ATCC8482_copy_02473
OG0000155_1	PV_ATCC8482_04053	PV_ATCC8482_copy_04053
OG0000156_1	PV_ATCC8482_02504	PV_ATCC8482_copy_02504
OG0000157_1	PV_ATCC8482_04249	PV_ATCC8482_copy_04249
OG0000158_1	PV_ATCC8482_02728	PV_ATCC8482_copy_02728
OG0000159_1	PV_ATCC8482_04049	PV_ATCC8482_copy_04049
OG0000160_1	PV_ATCC8482_02729	PV_ATCC8482_copy_02729
OG0000161_1	PV_ATCC8482_04050	PV_ATCC8482_copy_04050
OG0000162_1	PV_ATCC8482_03043	PV_ATCC8482_copy_03043
OG0000163_1	PV_ATCC8482_03322	PV_ATCC8482_copy_03322
OG0000164_1	PV_ATCC8482_03055	PV_ATCC8482_copy_03055
OG0000165_1	PV_ATCC8482_04116	PV_ATCC8482_copy_04116
OG0000166_1	PV_ATCC8482_03114	PV_ATCC8482_copy_03114
OG0000167_1	PV_ATCC8482_03974	PV_ATCC8482_copy_03974
OG0000168_1	PV_ATCC8482_03190	PV_ATCC8482_copy_03190
OG0000169_1	PV_ATCC8482_03200	PV_ATCC8482_copy_03200
OG0000170_1	PV_ATCC8482_03207	PV_ATCC8482_copy_03207
OG0000171_1	PV_ATCC8482_03271	PV_ATCC8482_copy_03271
OG0000172_1	PV_ATCC8482_03609	PV_ATCC8482_copy_03609
OG0000173_1	PV_ATCC8482_03656	PV_ATCC8482_copy_03656
OG0000174_1	PV_ATCC8482_03676	PV_ATCC8482_copy_03676
OG0000175_1	PV_ATCC8482_04104	PV_ATCC8482_copy_04104
OG0000176_1	PV_ATCC8482_00001	PV_ATCC8482_copy_00001
OG0000177_1	PV_ATCC8482_00002	PV_ATCC8482_copy_00002
OG0000178_1	PV_ATCC8482_00003	PV_ATCC8482_copy_00003
OG0000179_1	PV_ATCC8482_00004	PV_ATCC8482_copy_00004
OG0000180_1	PV_ATCC8482_00005	PV_ATCC8482_copy_00005
OG0000181_1	PV_ATCC8482_00006	PV_ATCC8482_copy_00006
OG0000182_1	PV_ATCC8482_00007	PV_ATCC8482_copy_00007
OG0000183_1	PV_ATCC8482_00008	PV_ATCC8482_copy_00008
OG0000184_1	PV_ATCC8482_00009	PV_ATCC8482_copy_00009
OG0000185_1	PV_ATCC8482_00010	PV_ATCC8482_copy_00010
OG0000186_1	PV_ATCC8482_00011	PV_ATCC8482_copy_00011
OG0000187_1	PV_ATCC8482_00012	PV_ATCC8482_copy_00012
OG0000188_1	PV_ATCC8482_00013	PV_ATCC8482_copy_00013
OG0000189_1	PV_ATCC8482_00014	PV_ATCC8482_copy_00014
OG0000190_1	PV_ATCC8482_00015	PV_ATCC8482_copy_00015
OG0000191_1	PV_ATCC8482_00016	PV_ATCC8482_copy_00016
OG0000192_1	PV_ATCC8482_00017	PV_ATCC8482_copy_00017
OG0000193_1	PV_ATCC8482_00018	PV_ATCC8482_copy_00018
OG0000194_1	PV_ATCC8482_00019	PV_ATCC8482_copy_00019
OG0000195_1	PV_ATCC8482_00020	PV_ATCC8482_copy_00020
OG0000196_1	PV_ATCC8482_00021	PV_ATCC8482_copy_00021
OG0000197_1	PV_ATCC8482_00022	PV_ATCC8482_copy_00022
OG0000198_1	PV_ATCC8482_00023	PV_ATCC8482_copy_00023
OG0000199_1	PV_ATCC8482_00025	PV_ATCC8482_copy_00025
OG0000200_1	PV_ATCC8482_00026	PV_ATCC8482_copy_00026
OG0000201_1	PV_ATCC8482_00027	PV_ATCC8482_copy_00027
OG0000202_1	PV_ATCC8482_00028	PV_ATCC8482_copy_00028
OG0000203_1	PV_ATCC8482_00029	PV_ATCC8482_copy_00029
OG0000204_1	PV_ATCC8482_00030	PV_ATCC8482_copy_00030
OG0000205_1	PV_ATCC8482_00031	PV_ATCC8482_copy_00031
OG0000206_1	PV_ATCC8482_00032	PV_ATCC8482_copy_00032
OG0000207_1	PV_ATCC8482_00033	PV_ATCC8482_copy_00033
OG0000208_1	PV_ATCC8482_00034	PV_ATCC8482_copy_00034
OG0000209_1	PV_ATCC8482_00035	PV_ATCC8482_copy_00035
OG0000210_1	PV_ATCC8482_00036	PV_ATCC8482_copy_00036
OG0000211_1	PV_ATCC8482_00037	PV_ATCC8482_copy_00037
OG0000212_1	PV_ATCC8482_00040	PV_ATCC8482_copy_00040
OG0000213_1	PV_ATCC8482_00041	PV_ATCC8482_copy_00041
OG0000214_1	PV_ATCC8482_00042	PV_ATCC8482_copy_00042
OG0000215_1	PV_ATCC8482_00043	PV_ATCC8482_copy_00043
OG0000216_1	PV_ATCC8482_00044	PV_ATCC8482_copy_00044
OG0000217_1	PV_ATCC8482_00045	PV_ATCC8482_copy_00045
OG0000218_1	PV_ATCC8482_00046	PV_ATCC8482_copy_00046
OG0000219_1	PV_ATCC8482_00047	PV_ATCC8482_copy_00047
OG0000220_1	PV_ATCC8482_00049	PV_ATCC8482_copy_00049
OG0000221_1	PV_ATCC8482_00050	PV_ATCC8482_copy_00050
OG0000222_1	PV_ATCC8482_00051	PV_ATCC8482_copy_00051
OG0000223_1	PV_ATCC8482_00052	PV_ATCC8482_copy_00052
OG0000224_1	PV_ATCC8482_00053	PV_ATCC8482_copy_00053
OG0000225_1	PV_ATCC8482_00054	PV_ATCC8482_copy_00054
OG0000226_1	PV_ATCC8482_00055	PV_ATCC8482_copy_00055
OG0000227_1	PV_ATCC8482_00056	PV_ATCC8482_copy_00056
OG0000228_1	PV_ATCC8482_00057	PV_ATCC8482_copy_00057
OG0000229_1	PV_ATCC8482_00058	PV_ATCC8482_copy_00058
OG0000230_1	PV_ATCC8482_00059	PV_ATCC8482_copy_00059
OG0000231_1	PV_ATCC8482_00060	PV_ATCC8482_copy_00060
OG0000232_1	PV_ATCC8482_00061	PV_ATCC8482_copy_00061
OG0000233_1	PV_ATCC8482_00062	PV_ATCC8482_copy_00062
OG0000234_1	PV_ATCC8482_00063	PV_ATCC8482_copy_00063
OG0000235_1	PV_ATCC8482_00064	PV_ATCC8482_copy_00064
OG0000236_1	PV_ATCC8482_00065	PV_ATCC8482_copy_00065
OG0000237_1	PV_ATCC8482_00066	PV_ATCC8482_copy_00066
OG0000238_1	PV_ATCC8482_00067	PV_ATCC8482_copy_00067
OG0000239_1	PV_ATCC8482_00068	PV_ATCC8482_copy_00068
OG0000240_1	PV_ATCC8482_00069	PV_ATCC8482_copy_00069
OG0000241_1	PV_ATCC8482_00070	PV_ATCC8482_copy_00070
OG0000242_1	PV_ATCC8482_00071	PV_ATCC8482_copy_00071
OG0000243_1	PV_ATCC8482_00072	PV_ATCC8482_copy_00072
OG0000244_1	PV_ATCC8482_00073	PV_ATCC8482_copy_00073
OG0000245_1	PV_ATCC8482_00074	PV_ATCC8482_copy_00074
OG0000246_1	PV_ATCC8482_00075	PV_ATCC8482_copy_00075
OG0000247_1	PV_ATCC8482_00076	PV_ATCC8482_copy_00076
OG0000248_1	PV_ATCC8482_00077	PV_ATCC8482_copy_00077
OG0000249_1	PV_ATCC8482_00078	PV_ATCC8482_copy_00078
OG0000250_1	PV_ATCC8482_00079	PV_ATCC8482_copy_00079
OG0000251_1	PV_ATCC8482_00080	PV_ATCC8482_copy_00080
OG0000252_1	PV_ATCC8482_00081	PV_ATCC8482_copy_00081
OG0000253_1	PV_ATCC8482_00082	PV_ATCC8482_copy_00082
OG0000254_1	PV_ATCC8482_00083	PV_ATCC8482_copy_00083
OG0000255_1	PV_ATCC8482_00084	PV_ATCC8482_copy_00084
OG0000256_1	PV_ATCC8482_00085	PV_ATCC8482_copy_00085
OG0000257_1	PV_ATCC8482_00086	PV_ATCC8482_copy_00086
OG0000258_1	PV_ATCC8482_00087	PV_ATCC8482_copy_00087
OG0000259_1	PV_ATCC8482_00088	PV_ATCC8482_copy_00088
OG0000260_1	PV_ATCC8482_00089	PV_ATCC8482_copy_00089
OG0000261_1	PV_ATCC8482_00090	PV_ATCC8482_copy_00090
OG0000262_1	PV_ATCC8482_00091	PV_ATCC8482_copy_00091
OG0000263_1	PV_ATCC8482_00092	PV_ATCC8482_copy_00092
OG0000264_1	PV_ATCC8482_00093	PV_ATCC8482_copy_00093
OG0000265_1	PV_ATCC8482_00094	PV_ATCC8482_copy_00094
OG0000266_1	PV_ATCC8482_00095	PV_ATCC8482_copy_00095
OG0000267_1	PV_ATCC8482_00096	PV_ATCC8482_copy_00096
OG0000268_1	PV_ATCC8482_00097	PV_ATCC8482_copy_00097
OG0000269_1	PV_ATCC8482_00098	PV_ATCC8482_copy_00098
OG0000270_1	PV_ATCC8482_00099	PV_ATCC8482_copy_00099
OG0000271_1	PV_ATCC8482_00100	PV_ATCC8482_copy_00100
OG0000272_1	PV_ATCC8482_00101	PV_ATCC8482_copy_00101
OG0000273_1	PV_ATCC8482_00102	PV_ATCC8482_copy_00102
OG0000274_1	PV_ATCC8482_00103	PV_ATCC8482_copy_00103
OG0000275_1	PV_ATCC8482_00104	PV_ATCC8482_copy_00104
OG0000276_1	PV_ATCC8482_00105	PV_ATCC8482_copy_00105
OG0000277_1	PV_ATCC8482_00106	PV_ATCC8482_copy_00106
OG0000278_1	PV_ATCC8482_00107	PV_ATCC8482_copy_00107
OG0000279_1	PV_ATCC8482_00108	PV_ATCC8482_copy_00108
OG0000280_1	PV_ATCC8482_00111	PV_ATCC8482_copy_00111
OG0000281_1	PV_ATCC8482_00112	PV_ATCC8482_copy_00112
OG0000282_1	PV_ATCC8482_00113	PV_ATCC8482_copy_00113
OG0000283_1	PV_ATCC8482_00114	PV_ATCC8482_copy_00114
OG0000284_1	PV_ATCC8482_00115	PV_ATCC8482_copy_00115
OG0000285_1	PV_ATCC8482_00116	PV_ATCC8482_copy_00116
OG0000286_1	PV_ATCC8482_00117	PV_ATCC8482_copy_00117
OG0000287_1	PV_ATCC8482_00118	PV_ATCC8482_copy_00118
OG0000288_1	PV_ATCC8482_00119	PV_ATCC8482_copy_00119
OG0000289_1	PV_ATCC8482_00120	PV_ATCC8482_copy_00120
OG0000290_1	PV_ATCC8482_00121	PV_ATCC8482_copy_00121
OG0000291_1	PV_ATCC8482_00122	PV_ATCC8482_copy_00122
OG0000292_1	PV_ATCC8482_00123	PV_ATCC8482_copy_00123
