Orthogroup	BU_ATCC8492	PV_ATCC8482	PV_ATCC8482_copy
OG0000003_15	BU_ATCC8492_00924	NA	NA
OG0000003_16	BU_ATCC8492_02653	NA	NA
OG0000004_1	NA	PV_ATCC8482_02625	PV_ATCC8482_copy_02625
OG0000004_2	NA	PV_ATCC8482_03555	PV_ATCC8482_copy_03555
OG0000004_3	NA	PV_ATCC8482_02501	PV_ATCC8482_copy_02501
OG0000004_4	NA	PV_ATCC8482_03654	PV_ATCC8482_copy_03654
OG0000004_5	NA	PV_ATCC8482_02286	PV_ATCC8482_copy_02286
OG0000004_6	NA	PV_ATCC8482_02287	PV_ATCC8482_copy_02287
OG0000004_7	NA	PV_ATCC8482_00432	PV_ATCC8482_copy_00432
OG0000004_8	NA	PV_ATCC8482_02579	PV_ATCC8482_copy_02579
OG0000004_9	NA	PV_ATCC8482_00117	PV_ATCC8482_copy_00117
OG0000004_10	NA	PV_ATCC8482_02263	PV_ATCC8482_copy_02263
OG0000004_11	NA	PV_ATCC8482_03161	PV_ATCC8482_copy_03161
OG0000004_12	NA	PV_ATCC8482_02076	PV_ATCC8482_copy_02076
OG0000004_13	NA	PV_ATCC8482_02045	PV_ATCC8482_copy_02045
OG0000004_14	BU_ATCC8492_03286	NA	NA
OG0000005_1	NA	PV_ATCC8482_00384	PV_ATCC8482_copy_00384
OG0000005_2	NA	PV_ATCC8482_03009	PV_ATCC8482_copy_03009
OG0000005_3	NA	PV_ATCC8482_00041	PV_ATCC8482_copy_00041
OG0000005_4	NA	PV_ATCC8482_00142	PV_ATCC8482_copy_00142
OG0000005_5	NA	PV_ATCC8482_00175	PV_ATCC8482_copy_00175
OG0000005_6	NA	PV_ATCC8482_00177	PV_ATCC8482_copy_00177
OG0000005_7	NA	PV_ATCC8482_00179	PV_ATCC8482_copy_00179
OG0000005_8	NA	PV_ATCC8482_01876	PV_ATCC8482_copy_01876
OG0000005_9	NA	PV_ATCC8482_00315	PV_ATCC8482_copy_00315
OG0000005_10	NA	PV_ATCC8482_03006	PV_ATCC8482_copy_03006
OG0000005_11	BU_ATCC8492_01116	NA	NA
OG0000006_1	NA	PV_ATCC8482_03010	PV_ATCC8482_copy_03010
OG0000006_2	NA	PV_ATCC8482_00040	PV_ATCC8482_copy_00040
OG0000006_3	NA	PV_ATCC8482_00141	PV_ATCC8482_copy_00141
OG0000006_4	NA	PV_ATCC8482_00174	PV_ATCC8482_copy_00174
OG0000006_5	NA	PV_ATCC8482_00180	PV_ATCC8482_copy_00180
OG0000006_6	NA	PV_ATCC8482_01877	PV_ATCC8482_copy_01877
OG0000006_7	NA	PV_ATCC8482_00536	PV_ATCC8482_copy_00536
OG0000006_8	NA	PV_ATCC8482_03007	PV_ATCC8482_copy_03007
OG0000006_9	NA	PV_ATCC8482_00316	PV_ATCC8482_copy_00316
OG0000006_10	NA	PV_ATCC8482_00383	PV_ATCC8482_copy_00383
OG0000006_11	BU_ATCC8492_00255	NA	NA
OG0000007_1	BU_ATCC8492_00708	NA	NA
OG0000007_2	BU_ATCC8492_00711	NA	NA
OG0000007_3	BU_ATCC8492_00999	NA	NA
OG0000007_4	BU_ATCC8492_01003	NA	NA
OG0000007_5	BU_ATCC8492_02028	NA	NA
OG0000007_6	BU_ATCC8492_01806	NA	NA
OG0000007_7	BU_ATCC8492_01008	NA	NA
OG0000007_8	BU_ATCC8492_00789	NA	NA
OG0000007_9	BU_ATCC8492_00982	NA	NA
OG0000007_10	BU_ATCC8492_00796	NA	NA
OG0000007_11	BU_ATCC8492_00990	NA	NA
OG0000008_1	NA	PV_ATCC8482_03008	PV_ATCC8482_copy_03008
OG0000008_2	NA	PV_ATCC8482_03233	PV_ATCC8482_copy_03233
OG0000008_3	NA	PV_ATCC8482_01411	PV_ATCC8482_copy_01411
OG0000008_4	NA	PV_ATCC8482_01514	PV_ATCC8482_copy_01514
OG0000008_5	NA	PV_ATCC8482_00843	PV_ATCC8482_copy_00843
OG0000008_6	NA	PV_ATCC8482_01486	PV_ATCC8482_copy_01486
OG0000008_7	NA	PV_ATCC8482_01555	PV_ATCC8482_copy_01555
OG0000008_8	NA	PV_ATCC8482_01332	PV_ATCC8482_copy_01332
OG0000008_9	NA	PV_ATCC8482_03894	PV_ATCC8482_copy_03894
OG0000008_10	NA	PV_ATCC8482_01916	PV_ATCC8482_copy_01916
OG0000008_11	BU_ATCC8492_01294	NA	NA
OG0000009_1	NA	PV_ATCC8482_03568	PV_ATCC8482_copy_03568
OG0000009_2	NA	PV_ATCC8482_03595	PV_ATCC8482_copy_03595
OG0000009_3	NA	PV_ATCC8482_01007	PV_ATCC8482_copy_01007
OG0000009_4	BU_ATCC8492_03752	NA	NA
OG0000009_5	BU_ATCC8492_03466	NA	NA
OG0000009_6	BU_ATCC8492_03567	NA	NA
OG0000009_7	BU_ATCC8492_02994	NA	NA
OG0000009_8	BU_ATCC8492_01588	NA	NA
OG0000009_9	BU_ATCC8492_03095	NA	NA
OG0000009_10	BU_ATCC8492_03001	NA	NA
OG0000009_11	BU_ATCC8492_02845	NA	NA
OG0000010_1	NA	PV_ATCC8482_02944	PV_ATCC8482_copy_02944
OG0000010_2	NA	PV_ATCC8482_01569	PV_ATCC8482_copy_01569
OG0000010_3	NA	PV_ATCC8482_03787	PV_ATCC8482_copy_03787
OG0000010_4	NA	PV_ATCC8482_04269	PV_ATCC8482_copy_04269
OG0000010_5	NA	PV_ATCC8482_03055	PV_ATCC8482_copy_03055
OG0000010_6	NA	PV_ATCC8482_03567	PV_ATCC8482_copy_03567
OG0000010_7	NA	PV_ATCC8482_03506	PV_ATCC8482_copy_03506
OG0000010_8	NA	PV_ATCC8482_02484	PV_ATCC8482_copy_02484
OG0000010_9	NA	PV_ATCC8482_04116	PV_ATCC8482_copy_04116
OG0000010_10	NA	PV_ATCC8482_03326	PV_ATCC8482_copy_03326
OG0000010_11	BU_ATCC8492_02191	NA	NA
OG0000011_1	NA	PV_ATCC8482_00388	PV_ATCC8482_copy_00388
OG0000011_2	NA	PV_ATCC8482_01788	PV_ATCC8482_copy_01788
OG0000011_3	NA	PV_ATCC8482_00038	PV_ATCC8482_copy_00038
OG0000011_4	NA	PV_ATCC8482_03781	PV_ATCC8482_copy_03781
OG0000011_5	NA	PV_ATCC8482_01224	PV_ATCC8482_copy_01224
OG0000011_6	NA	PV_ATCC8482_00937	PV_ATCC8482_copy_00937
OG0000011_7	NA	PV_ATCC8482_01274	PV_ATCC8482_copy_01274
OG0000011_8	NA	PV_ATCC8482_01372	PV_ATCC8482_copy_01372
OG0000011_9	NA	PV_ATCC8482_04125	PV_ATCC8482_copy_04125
OG0000011_10	NA	PV_ATCC8482_00510	PV_ATCC8482_copy_00510
OG0000011_11	BU_ATCC8492_03206	NA	NA
OG0000012_1	NA	PV_ATCC8482_00385	PV_ATCC8482_copy_00385
OG0000012_2	NA	PV_ATCC8482_04218	PV_ATCC8482_copy_04218
OG0000012_3	NA	PV_ATCC8482_00655	PV_ATCC8482_copy_00655
OG0000012_4	NA	PV_ATCC8482_00527	PV_ATCC8482_copy_00527
OG0000012_5	NA	PV_ATCC8482_00114	PV_ATCC8482_copy_00114
OG0000012_6	NA	PV_ATCC8482_01875	PV_ATCC8482_copy_01875
OG0000012_7	NA	PV_ATCC8482_00981	PV_ATCC8482_copy_00981
OG0000012_8	NA	PV_ATCC8482_00408	PV_ATCC8482_copy_00408
OG0000012_9	NA	PV_ATCC8482_01850	PV_ATCC8482_copy_01850
OG0000012_10	BU_ATCC8492_01853	NA	NA
OG0000013_1	NA	PV_ATCC8482_01419	PV_ATCC8482_copy_01419
OG0000013_2	BU_ATCC8492_00896	NA	NA
OG0000013_3	BU_ATCC8492_01186	NA	NA
OG0000013_4	BU_ATCC8492_02217	NA	NA
OG0000013_5	BU_ATCC8492_00587	NA	NA
OG0000013_6	BU_ATCC8492_00715	NA	NA
OG0000013_7	BU_ATCC8492_00657	NA	NA
OG0000013_8	BU_ATCC8492_01717	NA	NA
OG0000013_9	BU_ATCC8492_00958	NA	NA
OG0000013_10	BU_ATCC8492_00959	NA	NA
OG0000014_1	BU_ATCC8492_03557	PV_ATCC8482_00162	PV_ATCC8482_copy_00162
OG0000014_2	NA	PV_ATCC8482_02053	PV_ATCC8482_copy_02053
OG0000014_3	NA	PV_ATCC8482_01837	PV_ATCC8482_copy_01837
OG0000014_4	NA	PV_ATCC8482_01839	PV_ATCC8482_copy_01839
OG0000014_6	NA	PV_ATCC8482_01816	PV_ATCC8482_copy_01816
OG0000014_7	NA	PV_ATCC8482_00185	PV_ATCC8482_copy_00185
OG0000014_8	NA	PV_ATCC8482_02812	PV_ATCC8482_copy_02812
OG0000014_9	NA	PV_ATCC8482_00191	PV_ATCC8482_copy_00191
OG0000015_1	NA	PV_ATCC8482_02743	PV_ATCC8482_copy_02743
OG0000015_2	BU_ATCC8492_02534	NA	NA
OG0000015_3	BU_ATCC8492_02415	NA	NA
OG0000015_4	BU_ATCC8492_03218	NA	NA
OG0000015_5	BU_ATCC8492_01876	NA	NA
OG0000015_6	BU_ATCC8492_02421	NA	NA
OG0000015_7	BU_ATCC8492_02874	NA	NA
OG0000015_8	BU_ATCC8492_03419	NA	NA
OG0000015_9	BU_ATCC8492_01919	NA	NA
OG0000016_1	NA	PV_ATCC8482_00392	PV_ATCC8482_copy_00392
OG0000016_2	BU_ATCC8492_02401	NA	NA
OG0000016_3	BU_ATCC8492_01412	NA	NA
OG0000016_4	BU_ATCC8492_00746	NA	NA
OG0000016_5	BU_ATCC8492_00396	NA	NA
OG0000016_6	BU_ATCC8492_00945	NA	NA
OG0000016_7	BU_ATCC8492_02231	NA	NA
OG0000016_8	BU_ATCC8492_02682	NA	NA
OG0000016_9	BU_ATCC8492_03195	NA	NA
OG0000017_1	NA	PV_ATCC8482_02763	PV_ATCC8482_copy_02763
OG0000017_2	NA	PV_ATCC8482_02756	PV_ATCC8482_copy_02756
OG0000017_3	BU_ATCC8492_01313	NA	NA
OG0000017_4	BU_ATCC8492_02437	NA	NA
OG0000017_5	BU_ATCC8492_01259	NA	NA
OG0000017_6	BU_ATCC8492_01266	NA	NA
OG0000017_7	BU_ATCC8492_01303	NA	NA
OG0000017_8	BU_ATCC8492_01432	NA	NA
OG0000017_9	BU_ATCC8492_01306	NA	NA
OG0000018_1	NA	PV_ATCC8482_03868	PV_ATCC8482_copy_03868
OG0000018_2	BU_ATCC8492_03751	NA	NA
OG0000018_3	BU_ATCC8492_03467	NA	NA
OG0000018_4	BU_ATCC8492_03566	NA	NA
OG0000018_5	BU_ATCC8492_01587	NA	NA
OG0000018_6	BU_ATCC8492_02995	NA	NA
OG0000018_7	BU_ATCC8492_03000	NA	NA
OG0000018_8	BU_ATCC8492_03096	NA	NA
OG0000018_9	BU_ATCC8492_02844	NA	NA
OG0000019_1	NA	PV_ATCC8482_03042	PV_ATCC8482_copy_03042
OG0000019_2	NA	PV_ATCC8482_01800	PV_ATCC8482_copy_01800
OG0000019_3	NA	PV_ATCC8482_02472	PV_ATCC8482_copy_02472
OG0000019_4	NA	PV_ATCC8482_03536	PV_ATCC8482_copy_03536
OG0000019_5	NA	PV_ATCC8482_04120	PV_ATCC8482_copy_04120
OG0000019_6	NA	PV_ATCC8482_04027	PV_ATCC8482_copy_04027
OG0000019_7	BU_ATCC8492_02406	NA	NA
OG0000019_8	BU_ATCC8492_02350	NA	NA
OG0000019_9	BU_ATCC8492_02359	NA	NA
OG0000020_1	NA	PV_ATCC8482_01247	PV_ATCC8482_copy_01247
OG0000020_2	NA	PV_ATCC8482_03304	PV_ATCC8482_copy_03304
OG0000020_3	NA	PV_ATCC8482_03949	PV_ATCC8482_copy_03949
OG0000020_4	NA	PV_ATCC8482_03893	PV_ATCC8482_copy_03893
OG0000020_5	NA	PV_ATCC8482_01753	PV_ATCC8482_copy_01753
OG0000020_6	NA	PV_ATCC8482_01243	PV_ATCC8482_copy_01243
OG0000020_7	NA	PV_ATCC8482_01756	PV_ATCC8482_copy_01756
OG0000020_8	NA	PV_ATCC8482_01887	PV_ATCC8482_copy_01887
OG0000020_9	BU_ATCC8492_02765	NA	NA
OG0000021_1	NA	PV_ATCC8482_02466	PV_ATCC8482_copy_02466
OG0000021_2	NA	PV_ATCC8482_04075	PV_ATCC8482_copy_04075
OG0000021_3	NA	PV_ATCC8482_04078	PV_ATCC8482_copy_04078
OG0000021_4	NA	PV_ATCC8482_04079	PV_ATCC8482_copy_04079
OG0000021_5	NA	PV_ATCC8482_04081	PV_ATCC8482_copy_04081
OG0000021_6	NA	PV_ATCC8482_01107	PV_ATCC8482_copy_01107
OG0000021_7	NA	PV_ATCC8482_03539	PV_ATCC8482_copy_03539
OG0000021_8	NA	PV_ATCC8482_04031	PV_ATCC8482_copy_04031
OG0000021_9	BU_ATCC8492_03274	NA	NA
OG0000022_1	BU_ATCC8492_03560	PV_ATCC8482_00168	PV_ATCC8482_copy_00168
OG0000022_2	NA	PV_ATCC8482_02091	PV_ATCC8482_copy_02091
OG0000022_3	NA	PV_ATCC8482_01868	PV_ATCC8482_copy_01868
OG0000022_4	NA	PV_ATCC8482_02092	PV_ATCC8482_copy_02092
OG0000022_6	NA	PV_ATCC8482_01873	PV_ATCC8482_copy_01873
OG0000022_7	NA	PV_ATCC8482_01885	PV_ATCC8482_copy_01885
OG0000022_8	NA	PV_ATCC8482_00190	PV_ATCC8482_copy_00190
OG0000023_1	NA	PV_ATCC8482_03827	PV_ATCC8482_copy_03827
OG0000023_2	BU_ATCC8492_00202	NA	NA
OG0000023_3	BU_ATCC8492_02800	NA	NA
OG0000023_4	BU_ATCC8492_02641	NA	NA
OG0000023_5	BU_ATCC8492_01754	NA	NA
OG0000023_6	BU_ATCC8492_01757	NA	NA
OG0000023_7	BU_ATCC8492_00030	NA	NA
OG0000023_8	BU_ATCC8492_00031	NA	NA
OG0000024_1	NA	PV_ATCC8482_03264	PV_ATCC8482_copy_03264
OG0000024_2	NA	PV_ATCC8482_03620	PV_ATCC8482_copy_03620
OG0000024_3	NA	PV_ATCC8482_03531	PV_ATCC8482_copy_03531
OG0000024_4	NA	PV_ATCC8482_03260	PV_ATCC8482_copy_03260
OG0000024_5	NA	PV_ATCC8482_03262	PV_ATCC8482_copy_03262
OG0000024_6	NA	PV_ATCC8482_03263	PV_ATCC8482_copy_03263
OG0000024_7	BU_ATCC8492_03168	NA	NA
OG0000024_8	BU_ATCC8492_03167	NA	NA
OG0000025_1	NA	PV_ATCC8482_00160	PV_ATCC8482_copy_00160
OG0000025_2	NA	PV_ATCC8482_02720	PV_ATCC8482_copy_02720
OG0000025_3	NA	PV_ATCC8482_01353	PV_ATCC8482_copy_01353
OG0000025_4	NA	PV_ATCC8482_01867	PV_ATCC8482_copy_01867
OG0000025_5	NA	PV_ATCC8482_01940	PV_ATCC8482_copy_01940
OG0000025_6	NA	PV_ATCC8482_00186	PV_ATCC8482_copy_00186
OG0000025_7	NA	PV_ATCC8482_01853	PV_ATCC8482_copy_01853
OG0000025_8	BU_ATCC8492_00102	NA	NA
OG0000026_1	NA	PV_ATCC8482_01536	PV_ATCC8482_copy_01536
OG0000026_2	NA	PV_ATCC8482_01325	PV_ATCC8482_copy_01325
OG0000026_3	NA	PV_ATCC8482_01396	PV_ATCC8482_copy_01396
OG0000026_4	NA	PV_ATCC8482_01333	PV_ATCC8482_copy_01333
OG0000026_5	NA	PV_ATCC8482_01140	PV_ATCC8482_copy_01140
OG0000026_6	NA	PV_ATCC8482_01271	PV_ATCC8482_copy_01271
OG0000026_7	NA	PV_ATCC8482_01435	PV_ATCC8482_copy_01435
OG0000026_8	BU_ATCC8492_01273	NA	NA
OG0000027_1	NA	PV_ATCC8482_01092	PV_ATCC8482_copy_01092
OG0000027_2	NA	PV_ATCC8482_00646	PV_ATCC8482_copy_00646
OG0000027_3	NA	PV_ATCC8482_02088	PV_ATCC8482_copy_02088
OG0000027_4	NA	PV_ATCC8482_00587	PV_ATCC8482_copy_00587
OG0000027_5	NA	PV_ATCC8482_00595	PV_ATCC8482_copy_00595
OG0000027_6	NA	PV_ATCC8482_00597	PV_ATCC8482_copy_00597
OG0000027_7	NA	PV_ATCC8482_01301	PV_ATCC8482_copy_01301
OG0000027_8	BU_ATCC8492_01856	NA	NA
OG0000028_5	BU_ATCC8492_01914	PV_ATCC8482_01602	PV_ATCC8482_copy_01602
OG0000028_1	NA	PV_ATCC8482_01602	PV_ATCC8482_copy_00726
OG0000028_6	BU_ATCC8492_03424	NA	NA
OG0000028_7	BU_ATCC8492_02375	NA	NA
OG0000028_8	BU_ATCC8492_03439	NA	NA
OG0000028_9	BU_ATCC8492_02714	NA	NA
OG0000028_10	BU_ATCC8492_02878	NA	NA
OG0000028_11	NA	PV_ATCC8482_00726	NA
OG0000029_1	NA	PV_ATCC8482_00585	PV_ATCC8482_copy_00585
OG0000029_2	NA	PV_ATCC8482_00106	PV_ATCC8482_copy_00106
OG0000029_3	NA	PV_ATCC8482_01293	PV_ATCC8482_copy_01293
OG0000029_4	NA	PV_ATCC8482_00562	PV_ATCC8482_copy_00562
OG0000029_5	NA	PV_ATCC8482_01814	PV_ATCC8482_copy_01814
OG0000029_6	NA	PV_ATCC8482_01083	PV_ATCC8482_copy_01083
OG0000029_7	NA	PV_ATCC8482_04156	PV_ATCC8482_copy_04156
OG0000029_8	BU_ATCC8492_02002	NA	NA
OG0000030_1	NA	PV_ATCC8482_01573	PV_ATCC8482_copy_01573
OG0000030_2	NA	PV_ATCC8482_03589	PV_ATCC8482_copy_03589
OG0000030_3	NA	PV_ATCC8482_03441	PV_ATCC8482_copy_03441
OG0000030_4	NA	PV_ATCC8482_00371	PV_ATCC8482_copy_00371
OG0000030_5	NA	PV_ATCC8482_00887	PV_ATCC8482_copy_00887
OG0000030_6	NA	PV_ATCC8482_02969	PV_ATCC8482_copy_02969
OG0000030_7	NA	PV_ATCC8482_01754	PV_ATCC8482_copy_01754
OG0000030_8	NA	PV_ATCC8482_00798	PV_ATCC8482_copy_00798
OG0000031_1	NA	PV_ATCC8482_01572	PV_ATCC8482_copy_01572
OG0000031_2	NA	PV_ATCC8482_03590	PV_ATCC8482_copy_03590
OG0000031_3	NA	PV_ATCC8482_03442	PV_ATCC8482_copy_03442
OG0000031_4	NA	PV_ATCC8482_00372	PV_ATCC8482_copy_00372
OG0000031_5	NA	PV_ATCC8482_00886	PV_ATCC8482_copy_00886
OG0000031_6	NA	PV_ATCC8482_02968	PV_ATCC8482_copy_02968
OG0000031_7	NA	PV_ATCC8482_01755	PV_ATCC8482_copy_01755
OG0000031_8	NA	PV_ATCC8482_00797	PV_ATCC8482_copy_00797
OG0000032_1	NA	PV_ATCC8482_02498	PV_ATCC8482_copy_02498
OG0000032_2	NA	PV_ATCC8482_01324	PV_ATCC8482_copy_01324
OG0000032_3	NA	PV_ATCC8482_02158	PV_ATCC8482_copy_02158
OG0000032_4	NA	PV_ATCC8482_01395	PV_ATCC8482_copy_01395
OG0000032_5	NA	PV_ATCC8482_01141	PV_ATCC8482_copy_01141
OG0000032_6	NA	PV_ATCC8482_01270	PV_ATCC8482_copy_01270
OG0000032_7	NA	PV_ATCC8482_01436	PV_ATCC8482_copy_01436
OG0000032_8	NA	PV_ATCC8482_01535	PV_ATCC8482_copy_01535
OG0000033_1	BU_ATCC8492_00421	NA	NA
OG0000033_2	BU_ATCC8492_02219	NA	NA
OG0000033_3	BU_ATCC8492_00750	NA	NA
OG0000033_4	BU_ATCC8492_03504	NA	NA
OG0000033_5	BU_ATCC8492_00881	NA	NA
OG0000033_6	BU_ATCC8492_01237	NA	NA
OG0000033_7	BU_ATCC8492_03804	NA	NA
OG0000034_1	NA	PV_ATCC8482_04129	PV_ATCC8482_copy_04129
OG0000034_2	NA	PV_ATCC8482_01111	PV_ATCC8482_copy_01111
OG0000034_3	BU_ATCC8492_03211	NA	NA
OG0000034_4	BU_ATCC8492_03217	NA	NA
OG0000034_5	BU_ATCC8492_02872	NA	NA
OG0000034_6	BU_ATCC8492_02746	NA	NA
OG0000034_7	BU_ATCC8492_02525	NA	NA
OG0000035_1	NA	PV_ATCC8482_00651	PV_ATCC8482_copy_00651
OG0000035_2	NA	PV_ATCC8482_00588	PV_ATCC8482_copy_00588
OG0000035_3	NA	PV_ATCC8482_00594	PV_ATCC8482_copy_00594
OG0000035_4	NA	PV_ATCC8482_00596	PV_ATCC8482_copy_00596
OG0000035_5	NA	PV_ATCC8482_00599	PV_ATCC8482_copy_00599
OG0000035_6	NA	PV_ATCC8482_03805	PV_ATCC8482_copy_03805
OG0000035_7	BU_ATCC8492_00760	NA	NA
OG0000036_1	NA	PV_ATCC8482_01156	PV_ATCC8482_copy_01156
OG0000036_2	NA	PV_ATCC8482_03557	PV_ATCC8482_copy_03557
OG0000036_3	NA	PV_ATCC8482_01328	PV_ATCC8482_copy_01328
OG0000036_4	NA	PV_ATCC8482_01171	PV_ATCC8482_copy_01171
OG0000036_5	NA	PV_ATCC8482_02717	PV_ATCC8482_copy_02717
OG0000036_6	BU_ATCC8492_03222	NA	NA
OG0000036_7	BU_ATCC8492_02750	NA	NA
OG0000037_1	NA	PV_ATCC8482_02723	PV_ATCC8482_copy_02723
OG0000037_2	NA	PV_ATCC8482_00516	PV_ATCC8482_copy_00516
OG0000037_3	NA	PV_ATCC8482_01173	PV_ATCC8482_copy_01173
OG0000037_4	NA	PV_ATCC8482_01176	PV_ATCC8482_copy_01176
OG0000037_5	NA	PV_ATCC8482_00126	PV_ATCC8482_copy_00126
OG0000037_6	BU_ATCC8492_01025	NA	NA
OG0000037_7	BU_ATCC8492_00285	NA	NA
OG0000038_3	BU_ATCC8492_01933	PV_ATCC8482_01622	PV_ATCC8482_copy_01622
OG0000038_4	BU_ATCC8492_00032	NA	NA
OG0000038_5	BU_ATCC8492_00201	NA	NA
OG0000038_6	BU_ATCC8492_02642	NA	NA
OG0000038_7	BU_ATCC8492_02802	NA	NA
OG0000038_8	BU_ATCC8492_01753	NA	NA
OG0000039_1	BU_ATCC8492_01027	NA	NA
OG0000039_2	BU_ATCC8492_00998	NA	NA
OG0000039_3	BU_ATCC8492_00137	NA	NA
OG0000039_4	BU_ATCC8492_00622	NA	NA
OG0000039_5	BU_ATCC8492_01582	NA	NA
OG0000039_6	BU_ATCC8492_00318	NA	NA
OG0000039_7	BU_ATCC8492_00286	NA	NA
OG0000040_1	BU_ATCC8492_00673	NA	NA
OG0000040_2	BU_ATCC8492_00806	NA	NA
OG0000040_3	BU_ATCC8492_00330	NA	NA
OG0000040_4	BU_ATCC8492_00331	NA	NA
OG0000040_5	BU_ATCC8492_00173	NA	NA
OG0000040_6	BU_ATCC8492_01454	NA	NA
OG0000040_7	BU_ATCC8492_00500	NA	NA
OG0000041_1	NA	PV_ATCC8482_02294	PV_ATCC8482_copy_02294
OG0000041_2	BU_ATCC8492_01059	NA	NA
OG0000041_3	BU_ATCC8492_01060	NA	NA
OG0000041_4	BU_ATCC8492_00590	NA	NA
OG0000041_5	BU_ATCC8492_00568	NA	NA
OG0000041_6	BU_ATCC8492_00700	NA	NA
OG0000041_7	BU_ATCC8492_00701	NA	NA
OG0000042_1	BU_ATCC8492_00879	NA	NA
OG0000042_2	BU_ATCC8492_03730	NA	NA
OG0000042_3	BU_ATCC8492_00885	NA	NA
